,ICEDEU3,CO1COMDTY,CLJ2COMBCOMDTY,GASEUEQUITY,WK2COMBCOMDTY,GT1CDEGSACT24AVINEXMW
2022-03-09,70.12,110.19131,107.32989,24.88,11.13476,6902.1
2022-03-08,68.12,116.95147,113.0403,24.28,11.75637,0.0
2022-03-07,57.93,113.29655,109.7931,23.24,11.89885,8456.8
2022-03-06,0.0,0.0,0.0,0.0,0.0,4961.0
2022-03-05,0.0,0.0,0.0,0.0,0.0,5597.6
2022-03-04,64.77,108.09995,105.87589,22.84,11.06535,7886.8
2022-03-03,67.06,99.95476,97.4301,22.94,10.26151,8248.5
2022-03-02,68.24,101.71125,99.61272,23.14,9.53796,9702.9
2022-03-01,68.52,94.49095,93.08669,23.23,8.85768,8446.1
2022-02-28,81.81,90.12941,85.42615,23.83,8.33556,5594.8
2022-02-27,0.0,0.0,0.0,0.0,0.0,3569.7
2022-02-26,0.0,0.0,0.0,0.0,0.0,5378.4
2022-02-25,87.71,87.11858,81.47852,23.65,7.64834,4244.6
2022-02-24,86.63,88.7257,83.11095,22.69,8.37065,5042.1
2022-02-23,94.67,85.6082,81.41796,22.8,7.82134,5886.5
2022-02-22,89.37,85.44203,81.09229,22.74,7.52162,5204.1
2022-02-21,89.26,84.14785,0.0,23.1,0.0,4127.6
2022-02-20,0.0,0.0,0.0,0.0,0.0,3302.8
2022-02-19,0.0,0.0,0.0,0.0,0.0,4051.9
2022-02-18,89.02,82.61791,79.67674,24.24,7.10122,4995.0
2022-02-17,85.94,81.84699,79.26754,24.3,7.08469,4273.6
2022-02-16,89.31,83.34945,80.72967,24.8,6.91209,5098.1
2022-02-15,90.63,82.1199,79.4172,24.04,6.91742,6277.7
2022-02-14,91.27,85.30504,82.6702,24.62,7.12202,5634.3
2022-02-13,0.0,0.0,0.0,0.0,0.0,4190.3
2022-02-12,0.0,0.0,0.0,0.0,0.0,5510.9
2022-02-11,92.43,82.8639,80.21409,24.75,7.05449,7288.4
2022-02-10,90.34,79.72961,77.24379,28.29,6.79241,8895.3
2022-02-09,90.31,80.04022,77.3999,27.84,6.91554,6528.6
2022-02-08,96.38,79.48516,76.96349,27.33,6.86455,5522.5
2022-02-07,96.18,81.17172,78.61459,27.63,6.79569,5067.4
2022-02-06,0.0,0.0,0.0,0.0,0.0,3223.8
2022-02-05,0.0,0.0,0.0,0.0,0.0,3994.8
2022-02-04,95.93,81.43007,78.86328,27.91,6.72254,6042.2
2022-02-03,94.29,79.61377,77.28941,28.04,6.62574,9316.4
2022-02-02,93.67,79.09999,76.64221,28.6,6.72796,6788.0
2022-02-01,89.1,79.28857,76.88751,28.21,6.88306,6321.8
2022-01-31,88.8,81.29958,77.09243,28.21,6.82993,7474.6
2022-01-30,0.0,0.0,0.0,0.0,0.0,3926.6
2022-01-29,0.0,0.0,0.0,0.0,0.0,4252.3
2022-01-28,88.82,80.73715,76.61196,28.38,7.09353,6807.1
2022-01-27,89.39,80.20469,76.56881,28.45,7.02262,5611.4
2022-01-26,88.29,79.69525,76.15167,27.56,7.09382,10535.7
2022-01-25,87.09,78.13607,74.74309,28.06,7.28428,12637.9
2022-01-24,83.66,76.15643,72.74894,28.21,7.09746,11247.8
2022-01-23,0.0,0.0,0.0,0.0,0.0,8975.1
2022-01-22,0.0,0.0,0.0,0.0,0.0,8815.1
2022-01-21,84.11,77.46342,74.15829,28.36,6.91653,7878.2
2022-01-20,85.24,78.02596,74.73294,28.87,7.00539,5883.8
