"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","VALUE","Flag Codes"
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2000-01",102.3045,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2000-02",102.2766,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2000-03",102.3707,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2000-04",102.5062,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2000-05",102.5061,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2000-06",102.3659,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2000-07",102.1668,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2000-08",101.8696,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2000-09",101.7157,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2000-10",101.9191,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2000-11",102.2712,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2000-12",102.6593,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2001-01",102.8586,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2001-02",102.7498,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2001-03",102.4663,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2001-04",102.099,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2001-05",101.6335,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2001-06",101.2307,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2001-07",100.8851,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2001-08",100.5958,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2001-09",100.4246,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2001-10",100.4672,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2001-11",100.6495,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.8297,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2002-01",100.9616,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2002-02",101.059,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2002-03",101.1501,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2002-04",101.267,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2002-05",101.47,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2002-06",101.4416,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2002-07",101.2363,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2002-08",101.0492,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2002-09",100.9303,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2002-10",100.8858,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2002-11",100.8232,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2002-12",100.654,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2003-01",100.2984,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2003-02",99.88341,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2003-03",99.57905,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2003-04",99.52299,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2003-05",99.54781,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2003-06",99.58329,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2003-07",99.60278,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2003-08",99.61649,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2003-09",99.59441,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2003-10",99.53902,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2003-11",99.53633,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2003-12",99.66695,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2004-01",99.92224,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2004-02",100.0737,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2004-03",100.0814,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2004-04",99.9709,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2004-05",99.97033,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2004-06",100.0436,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2004-07",100.2084,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2004-08",100.4342,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2004-09",100.5924,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2004-10",100.5485,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2004-11",100.3498,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2004-12",100.1825,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2005-01",100.0807,
