"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-01",97.70081,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-02",97.79533,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-03",97.8284,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-04",97.74784,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-05",97.64878,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-06",97.59455,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-07",97.62916,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-08",97.62962,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-09",97.58865,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-10",97.6431,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-11",97.88409,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2014-12",98.24488,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-01",98.60607,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-02",98.92529,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-03",99.10682,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-04",99.17281,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",99.11063,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",99.06652,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",99.06157,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",99.23779,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",99.48797,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",99.68343,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",99.82769,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",99.83222,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",99.71832,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",99.4107,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-03",99.16868,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-04",99.17258,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-05",99.33298,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-06",99.34444,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-07",99.33305,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-08",99.38327,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-09",99.54932,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-10",99.74732,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-11",99.96424,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2016-12",100.0599,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-01",100.0117,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-02",99.93446,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-03",99.98396,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-04",100.2616,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-05",100.7356,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-06",101.2235,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-07",101.2353,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-08",100.9566,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-09",100.7182,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-10",100.7258,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-11",100.9531,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2017-12",101.0755,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-01",100.9651,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-02",100.7118,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-03",100.5031,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-04",100.2715,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-05",100.0478,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-06",99.84599,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-07",99.71423,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-08",99.47479,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-09",99.11562,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-10",98.79891,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-11",98.35474,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2018-12",98.08826,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-01",98.35833,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-02",98.80537,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.1488,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.37463,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-05",99.62299,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-06",99.87557,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-07",100.169,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.4001,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.6089,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-10",100.6328,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-11",100.5036,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2019-12",100.2212,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-01",99.96935,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-02",99.59084,
"FRA","CCI","AMPLITUD","LTRENDIDX","M","2020-03",98.78105,
