;OECDplus6_WIP;;
Jan-58;17,15866;;
Feb-58;17,04359;;
Mar-58;16,98591;;
Apr-58;16,69236;;
May-58;16,78838;;
Jun-58;17,04012;;
Jul-58;17,13739;;
Aug-58;17,37655;;
Sep-58;17,40091;;
Oct-58;17,5515;;
Nov-58;17,84963;;
Dec-58;17,91472;;
Jan-59;18,03936;;
Feb-59;18,31103;;
Mar-59;18,46969;;
Apr-59;18,81358;;
May-59;19,06809;;
Jun-59;19,12948;;
Jul-59;18,98348;;
Aug-59;18,84352;;
Sep-59;18,93631;;
Oct-59;19,10897;;
Nov-59;19,19808;;
Dec-59;19,85207;;
Jan-60;20,17093;;
Feb-60;20,18242;;
Mar-60;20,19252;;
Apr-60;20,19722;;
May-60;20,20811;;
Jun-60;20,15265;;
Jul-60;20,27597;;
Aug-60;20,25908;;
Sep-60;20,29386;;
Oct-60;20,37612;;
Nov-60;20,27078;;
Dec-60;20,1785;;
Jan-61;20,28481;;
Feb-61;20,35952;;
Mar-61;20,50044;;
Apr-61;20,72402;;
May-61;20,80873;;
Jun-61;21,03175;;
Jul-61;21,30863;;
Aug-61;21,37027;;
Sep-61;21,40311;;
Oct-61;21,65081;;
Nov-61;21,85324;;
Dec-61;22,12722;;
Jan-62;22,1513;;
Feb-62;22,34849;;
Mar-62;22,46309;;
Apr-62;22,40931;;
May-62;22,58254;;
Jun-62;22,51707;;
Jul-62;22,69722;;
Aug-62;22,8609;;
Sep-62;22,83672;;
Oct-62;22,8043;;
Nov-62;22,97882;;
Dec-62;22,90204;;
Jan-63;22,97433;;
Feb-63;23,08765;;
Mar-63;23,13765;;
Apr-63;23,57847;;
May-63;23,88575;;
Jun-63;23,96843;;
Jul-63;24,10007;;
Aug-63;24,37216;;
Sep-63;24,42542;;
Oct-63;24,67034;;
Nov-63;24,82912;;
Dec-63;24,78067;;
Jan-64;25,20992;;
Feb-64;25,38293;;
Mar-64;25,32201;;
Apr-64;25,56892;;
May-64;25,66679;;
Jun-64;25,77339;;
