,OECDE_CCI,OECDE_CCI,OECD_CCI,G-7_CCI,EA19_CCI,USA_CCI,FRA_CCI,GBR_CCI,DEU_CCI,RUS_CCI
2000-01,102.5086,102.5086,102.3622,102.0687,102.4505,102.9471,102.3045,103.2369,100.4491,96.51195
2000-02,102.5458,102.5458,102.3992,102.1176,102.5706,103.0042,102.2766,102.9406,100.6552,96.53237
2000-03,102.5452,102.5452,102.3695,102.0914,102.6598,102.9168,102.3707,102.5617,100.7532,97.31782
2000-04,102.528,102.528,102.3609,102.1026,102.7038,102.8968,102.5062,102.3236,100.8191,98.03392
2000-05,102.4859,102.4859,102.3441,102.1043,102.6675,102.8695,102.5061,102.2533,100.8891,98.54384
2000-06,102.4055,102.4055,102.2894,102.0428,102.5446,102.7628,102.3659,102.1949,100.7913,98.71452
2000-07,102.3385,102.3385,102.26,102.0054,102.4255,102.7267,102.1668,102.1601,100.7104,98.69401
2000-08,102.2338,102.2338,102.1829,101.9341,102.244,102.689,101.8696,102.1349,100.589,98.64246
2000-09,102.0771,102.0771,102.0395,101.8207,101.9903,102.6352,101.7157,102.0298,100.332,98.65417
2000-10,102.0896,102.0896,101.9305,101.7356,101.9238,102.5176,101.9191,102.2935,100.1525,98.71068
2000-11,102.1779,102.1779,101.7918,101.5952,102.012,102.2451,102.2712,102.562,100.2153,98.76756
2000-12,102.2764,102.2764,101.5686,101.3328,102.1219,101.6731,102.6593,102.8224,100.3651,98.79627
2001-01,102.3065,102.3065,101.3497,101.0626,102.1517,101.1063,102.8586,102.9208,100.5147,98.82571
2001-02,102.281,102.281,101.1845,100.862,102.109,100.6921,102.7498,102.9458,100.5771,98.91348
2001-03,102.2273,102.2273,101.0977,100.7711,102.0491,100.5133,102.4663,102.9617,100.5821,99.11649
2001-04,102.1251,102.1251,101.0384,100.711,101.9304,100.4775,102.099,102.9001,100.47,99.40313
2001-05,102.0079,102.0079,100.9896,100.6784,101.7363,100.6107,101.6335,102.9076,100.1899,99.74557
2001-06,101.8994,101.8994,100.9331,100.6011,101.5001,100.6963,101.2307,102.9876,99.85207,100.1283
2001-07,101.7489,101.7489,100.8112,100.4294,101.2484,100.6031,100.8851,102.9089,99.53732,100.501
2001-08,101.552,101.552,100.5869,100.1615,101.0178,100.2764,100.5958,102.5733,99.32765,100.7894
2001-09,101.3829,101.3829,100.3033,99.86459,100.8242,99.8056,100.4246,102.2624,99.23193,100.9163
2001-10,101.255,101.255,100.1571,99.73872,100.643,99.63588,100.4672,101.9936,99.0884,100.907
2001-11,101.2415,101.2415,100.2121,99.82826,100.5397,99.79596,100.6495,102.1666,98.86522,100.762
2001-12,101.3407,101.3407,100.4075,100.0779,100.5687,100.1834,100.8297,102.5444,98.66059,100.4665
2002-01,101.4468,101.4468,100.5933,100.3253,100.6263,100.558,100.9616,102.7806,98.47546,100.1353
2002-02,101.5425,101.5425,100.7509,100.5017,100.6723,100.7824,101.059,102.9089,98.35677,99.91505
2002-03,101.5927,101.5927,100.8952,100.6526,100.6725,100.9853,101.1501,102.9954,98.31628,99.92122
2002-04,101.5842,101.5842,100.9525,100.7023,100.615,101.0425,101.267,103.0379,98.30603,100.065
2002-05,101.5309,101.5309,100.9502,100.6816,100.5419,101.0143,101.47,102.9359,98.32021,100.2441
2002-06,101.432,101.432,100.8281,100.5149,100.4184,100.7426,101.4416,102.8394,98.38489,100.3953
2002-07,101.3454,101.3454,100.6556,100.2912,100.2686,100.3789,101.2363,102.8877,98.42108,100.5126
2002-08,101.2703,101.2703,100.499,100.0988,100.1112,100.0791,101.0492,103.0533,98.36426,100.5946
2002-09,101.2012,101.2012,100.3488,99.92431,99.95184,99.8169,100.9303,103.234,98.18965,100.625
2002-10,100.9954,100.9954,100.1658,99.72965,99.62773,99.61893,100.8858,103.1152,97.72331,100.5896
2002-11,100.6943,100.6943,100.0332,99.60213,99.18599,99.63525,100.8232,102.7447,97.1034,100.4455
2002-12,100.3443,100.3443,99.86827,99.45594,98.73766,99.63249,100.654,102.0642,96.71415,100.1566
2003-01,100.0428,100.0428,99.6385,99.24734,98.39777,99.4389,100.2984,101.3354,96.5976,99.83778
2003-02,99.85819,99.85819,99.45292,99.09259,98.20068,99.26718,99.88341,100.8964,96.57668,99.6501
2003-03,99.81168,99.81168,99.44685,99.13551,98.15781,99.35738,99.57905,100.8834,96.67885,99.72602
2003-04,99.92509,99.92509,99.70987,99.4372,98.32932,99.82829,99.52299,101.1091,96.91136,99.96336
2003-05,100.0563,100.0563,99.99541,99.74512,98.55338,100.2926,99.54781,101.16,97.20003,100.2446
2003-06,100.189,100.189,100.167,99.91527,98.77645,100.4619,99.58329,101.2064,97.54574,100.4949
2003-07,100.2569,100.2569,100.2375,99.97691,98.89178,100.4644,99.60278,101.2238,97.75632,100.6961
2003-08,100.2931,100.2931,100.2405,99.95953,98.95533,100.3674,99.61649,101.2263,97.79702,100.8329
2003-09,100.3436,100.3436,100.2613,99.97604,99.03911,100.329,99.59441,101.2773,97.84615,100.8889
