,OECDplus6_WIP
2000-01,85.32319
2000-02,85.63453
2000-03,86.06507
2000-04,86.91808
2000-05,87.356
2000-06,87.44335
2000-07,87.75968
2000-08,88.18536
2000-09,87.98927
2000-10,88.28094
2000-11,88.60218
2000-12,88.91891
2001-01,87.7235
2001-02,88.45318
2001-03,87.63068
2001-04,87.24471
2001-05,87.22691
2001-06,87.01468
2001-07,86.40942
2001-08,86.88361
2001-09,86.29089
2001-10,86.00792
2001-11,85.77643
2001-12,85.84277
2002-01,86.75288
2002-02,86.51835
2002-03,87.36117
2002-04,87.97456
2002-05,88.3083
2002-06,88.48105
2002-07,88.8388
2002-08,89.14413
2002-09,89.40881
2002-10,89.50645
2002-11,89.82052
2002-12,89.51485
2003-01,90.51617
2003-02,90.49358
2003-03,90.54109
2003-04,90.27492
2003-05,90.13242
2003-06,90.54904
2003-07,91.21933
2003-08,91.10155
2003-09,91.96587
2003-10,92.80256
2003-11,93.10926
2003-12,93.79475
2004-01,93.64323
2004-02,94.86493
2004-03,94.84258
2004-04,95.46178
2004-05,95.78032
2004-06,95.70715
2004-07,96.36539
2004-08,96.41619
2004-09,96.80513
2004-10,97.2409
2004-11,97.38412
2004-12,97.72898
2005-01,98.48814
2005-02,98.54713
2005-03,98.77973
2005-04,99.50079
2005-05,99.12711
2005-06,99.79114
2005-07,99.88013
2005-08,100.1999
2005-09,100.284
2005-10,100.8638
2005-11,101.9382
2005-12,102.6133
2006-01,102.4846
2006-02,103.3763
2006-03,103.7015
2006-04,104.1263
2006-05,104.8311
2006-06,105.1742
2006-07,105.5162
2006-08,105.9304
2006-09,106.3349
2006-10,106.608
2006-11,107.8786
2006-12,108.5713
2007-01,109.2043
2007-02,109.4357
2007-03,110.1518
2007-04,110.3011
2007-05,111.3127
2007-06,111.4787
2007-07,111.978
2007-08,112.4597
2007-09,112.5314
2007-10,113.2724
2007-11,113.7429
2007-12,113.9851
2008-01,115.6785
2008-02,115.0503
2008-03,114.6896
2008-04,115.1825
2008-05,114.1686
2008-06,114.4692
2008-07,113.7066
2008-08,112.6833
2008-09,111.5413
2008-10,109.8184
2008-11,106.8489
2008-12,103.4164
2009-01,100.4904
2009-02,101.3404
2009-03,100.8404
2009-04,101.0283
2009-05,101.6028
2009-06,102.5956
2009-07,103.5034
2009-08,104.3562
2009-09,105.5352
2009-10,106.0477
2009-11,107.0355
2009-12,107.667
2010-01,109.6685
2010-02,109.5251
2010-03,111.1295
2010-04,111.635
2010-05,112.5807
2010-06,112.3613
2010-07,112.8854
2010-08,113.3088
2010-09,113.5702
2010-10,114.1142
2010-11,114.7718
2010-12,116.1199
2011-01,117.7303
2011-02,117.5355
2011-03,117.1961
2011-04,116.6106
2011-05,117.684
2011-06,117.9905
2011-07,118.3499
2011-08,118.6061
2011-09,118.533
2011-10,118.5491
2011-11,118.14075730506754
2011-12,118.41470415791355
2012-01,119.33437715532203
2012-02,119.58573725959694
2012-03,118.9905410917926
2012-04,118.15970701999298
2012-05,118.86664944643007
2012-06,118.3926607642689
2012-07,118.52036283139523
2012-08,118.16673072549602
2012-09,117.75755242288895
2012-10,118.35596815169392
2012-11,118.19566799799401
2012-12,118.57286011270736
2013-01,119.048967455947
2013-02,119.02866143345256
2013-03,119.35038495946846
2013-04,119.80717869674264
2013-05,119.89250139482283
2013-06,119.38053640623478
2013-07,120.06179493641287
2013-08,120.62158187704878
2013-09,120.99892306608187
2013-10,120.81653939296628
2013-11,121.39299775045774
2013-12,121.2350712992764
2014-01,122.29477842314841
2014-02,122.99393056930916
2014-03,122.80862122821897
2014-04,123.28358667038096
2014-05,122.99587285905162
2014-06,123.2257264918003
2014-07,123.45360970387436
2014-08,122.25831169856602
2014-09,123.48572963177847
2014-10,122.6534265753857
2014-11,123.5449340741413
2014-12,123.82562279424961
2015-01,124.51339629768127
2015-02,124.17704048680501
2015-03,124.13239125563145
2015-04,124.06245844535665
2015-05,123.74836754574204
2015-06,124.33509119711461
2015-07,124.07425868463432
2015-08,124.49109553380849
2015-09,124.37144851537983
2015-10,124.77885124480906
2015-11,124.31098861255964
2015-12,124.01275898947097
2016-01,125.35768452359675
2016-02,125.02797942597637
2016-03,125.28072428385592
2016-04,125.51082522869189
2016-05,125.44819974466931
2016-06,126.31682558927686
2016-07,125.70197635861378
2016-08,126.07324989916349
2016-09,125.96148503155078
2016-10,126.83403785871297
2016-11,126.92318194808253
2016-12,126.88902479694869
2017-01,127.85577746216126
2017-02,128.33369493686936
2017-03,129.01558161615276
2017-04,129.27656943628483
2017-05,129.50706446858402
2017-06,129.47927127320767
2017-07,129.33671267722045
2017-08,130.17848438081424
2017-09,130.46378519162477
2017-10,130.55413121856733
2017-11,131.77102810417074
2017-12,131.96378721102226
2018-01,132.47125094422424
2018-02,132.93298644421094
2018-03,132.44750488403352
2018-04,133.15785976208238
2018-05,132.90321082650064
2018-06,132.70481133397854
2018-07,133.07972091568664
2018-08,133.51619355581718
2018-09,133.00435984585857
2018-10,133.662417413527
2018-11,133.03262422687214
2018-12,133.23699146204518
2019-01,133.32330505965876
2019-02,133.52820530944842
2019-03,134.3096100111808
2019-04,133.90617451103617
2019-05,134.10547922959668
2019-06,133.2859840352544
2019-07,133.3779286704152
2019-08,133.33836965445238
2019-09,132.99223768349594
2019-10,132.86477631216601
2019-11,133.1996420125318
2019-12,133.57554746476427
2020-01,127.58934901325416
2020-02,128.17717093465464
2020-03,127.84462769022163
2020-04,116.36376494758082
2020-05,117.14542313010887
2020-06,123.00653670494528
2020-07,126.83948048837229
2020-08,128.50661718139332
2020-09,130.24017740331402
2020-10,131.29923387399833
2020-11,132.87069357636253
2020-12,134.67584342685754
2021-01,136.5167747812277
2021-02,136.46529123198786
2021-03,136.9894303934594
2021-04,137.23265166746748
2021-05,135.45460918997063
2021-06,137.63156641044188
2021-07,137.425563478336
2021-08,136.84665189765798
2021-09,135.60922340045752
2021-10,136.4284725021344
2021-11,138.60700681859183
2021-12,140.54298026179424
2022-01,143.09208969787676
