,iso3,ICEDEU3,CO1COMDTY,GASEUEQUITY,WK2COMBCOMDTY,agg_genGAS,agg_genCOALGAS,agg_genSUN,agg_genOIL,agg_genNUC,agg_genBIO,agg_genWINDOFFSHORE,agg_genWINDONSHORE,agg_genHYDROSTORAGE,agg_genHYDRORIVER,mean_ELECTRICITYPRICES,max_ELECTRICITYPRICES,CCI,EPU,WIP
2019-07-12,DE,28.76,59.21193,22.65,5.03417,8787.0,447.0,17400.0,500.0,8918.0,4461.0,1332.0,6512.0,4756.0,1955.0,45.3525,58.4,,229.7369384765625,133.3779286704152
2019-07-12,FR,28.76,59.21193,22.65,5.03417,4654.0,13.0,5738.0,143.0,41874.0,312.0,0.0,4988.0,2061.0,4477.0,41.02791666666666,53.74,,246.24191284179688,133.3779286704152
2019-07-12,IT,28.76,59.21193,22.65,5.03417,9517.0,0.0,3859.0,0.0,6994.0,200.0,0.0,12.0,776.0,6026.0,54.61666666666667,62.09,,88.91676330566406,133.3779286704152
2019-07-12,ES,28.76,59.21193,22.65,5.03417,15562.0,0.0,3669.0,280.0,6994.0,413.0,0.0,5075.0,776.0,995.0,,,,435.4997253417969,133.3779286704152
2019-07-12,UK,28.76,59.21193,22.65,5.03417,15562.0,0.0,3669.0,280.0,6994.0,413.0,0.0,5075.0,776.0,995.0,,,101.1048,269.49664306640625,133.3779286704152
2019-07-12,EU,28.76,59.21193,22.65,5.03417,15562.0,0.0,3669.0,280.0,6994.0,413.0,0.0,5075.0,776.0,995.0,,,,114.53092193603516,133.3779286704152
2019-07-12,OECD,28.76,59.21193,22.65,5.03417,15562.0,0.0,3669.0,280.0,6994.0,413.0,0.0,5075.0,776.0,995.0,,,100.169,,133.3779286704152
2019-07-13,DE,,,,,12281.0,0.0,5137.0,246.0,6958.0,408.0,0.0,7461.0,598.0,774.0,36.88791666666666,41.2,100.0284,229.7369384765625,133.3779286704152
2019-07-13,FR,,,,,12281.0,0.0,5137.0,246.0,6958.0,408.0,0.0,7461.0,598.0,774.0,36.08375,41.2,100.9621,246.24191284179688,133.3779286704152
2019-07-13,IT,,,,,12281.0,0.0,5137.0,246.0,6958.0,408.0,0.0,7461.0,598.0,774.0,44.206250000000004,51.0,,88.91676330566406,133.3779286704152
2019-07-13,ES,,,,,12281.0,0.0,5137.0,246.0,6958.0,408.0,0.0,7461.0,598.0,774.0,,,,435.4997253417969,133.3779286704152
2019-07-13,UK,,,,,12281.0,0.0,5137.0,246.0,6958.0,408.0,0.0,7461.0,598.0,774.0,,,101.1048,269.49664306640625,133.3779286704152
2019-07-13,EU,,,,,12281.0,0.0,5137.0,246.0,6958.0,408.0,0.0,7461.0,598.0,774.0,,,,114.53092193603516,133.3779286704152
2019-07-13,OECD,,,,,12281.0,0.0,5137.0,246.0,6958.0,408.0,0.0,7461.0,598.0,774.0,,,100.169,,133.3779286704152
2019-07-14,DE,,,,,10780.0,0.0,5948.0,192.0,6974.0,399.0,0.0,7087.0,572.0,767.0,35.76,43.72,100.0284,229.7369384765625,133.3779286704152
2019-07-14,FR,,,,,10780.0,0.0,5948.0,192.0,6974.0,399.0,0.0,7087.0,572.0,767.0,32.955416666666665,43.72,100.9621,246.24191284179688,133.3779286704152
2019-07-14,IT,,,,,10780.0,0.0,5948.0,192.0,6974.0,399.0,0.0,7087.0,572.0,767.0,39.26166666666666,45.0,,88.91676330566406,133.3779286704152
2019-07-14,ES,,,,,10780.0,0.0,5948.0,192.0,6974.0,399.0,0.0,7087.0,572.0,767.0,,,,435.4997253417969,133.3779286704152
2019-07-14,UK,,,,,10780.0,0.0,5948.0,192.0,6974.0,399.0,0.0,7087.0,572.0,767.0,,,101.1048,269.49664306640625,133.3779286704152
2019-07-14,EU,,,,,10780.0,0.0,5948.0,192.0,6974.0,399.0,0.0,7087.0,572.0,767.0,,,,114.53092193603516,133.3779286704152
2019-07-14,OECD,,,,,10780.0,0.0,5948.0,192.0,6974.0,399.0,0.0,7087.0,572.0,767.0,,,100.169,,133.3779286704152
2019-07-15,DE,29.02,59.0461,22.93,4.93605,13217.0,0.0,6095.0,271.0,6998.0,383.0,0.0,5980.0,691.0,950.0,41.50208333333333,50.06,100.0284,229.7369384765625,133.3779286704152
2019-07-15,FR,29.02,59.0461,22.93,4.93605,13217.0,0.0,6095.0,271.0,6998.0,383.0,0.0,5980.0,691.0,950.0,39.7825,50.06,100.9621,246.24191284179688,133.3779286704152
2019-07-15,IT,29.02,59.0461,22.93,4.93605,13217.0,0.0,6095.0,271.0,6998.0,383.0,0.0,5980.0,691.0,950.0,51.6475,61.09,,88.91676330566406,133.3779286704152
2019-07-15,ES,29.02,59.0461,22.93,4.93605,13217.0,0.0,6095.0,271.0,6998.0,383.0,0.0,5980.0,691.0,950.0,,,,435.4997253417969,133.3779286704152
2019-07-15,UK,29.02,59.0461,22.93,4.93605,13217.0,0.0,6095.0,271.0,6998.0,383.0,0.0,5980.0,691.0,950.0,,,101.1048,269.49664306640625,133.3779286704152
2019-07-15,EU,29.02,59.0461,22.93,4.93605,13217.0,0.0,6095.0,271.0,6998.0,383.0,0.0,5980.0,691.0,950.0,,,,114.53092193603516,133.3779286704152
2019-07-15,OECD,29.02,59.0461,22.93,4.93605,13217.0,0.0,6095.0,271.0,6998.0,383.0,0.0,5980.0,691.0,950.0,,,100.169,,133.3779286704152
2019-07-16,DE,28.44,57.38875,22.58,4.9942,13232.0,0.0,6022.0,279.0,6984.0,400.0,0.0,6132.0,635.0,962.0,43.13291666666667,52.64,100.0284,229.7369384765625,133.3779286704152
2019-07-16,FR,28.44,57.38875,22.58,4.9942,13232.0,0.0,6022.0,279.0,6984.0,400.0,0.0,6132.0,635.0,962.0,43.13291666666667,52.64,100.9621,246.24191284179688,133.3779286704152
2019-07-16,IT,28.44,57.38875,22.58,4.9942,13232.0,0.0,6022.0,279.0,6984.0,400.0,0.0,6132.0,635.0,962.0,46.234166666666674,52.64,,88.91676330566406,133.3779286704152
2019-07-16,ES,28.44,57.38875,22.58,4.9942,13232.0,0.0,6022.0,279.0,6984.0,400.0,0.0,6132.0,635.0,962.0,,,,435.4997253417969,133.3779286704152
2019-07-16,UK,28.44,57.38875,22.58,4.9942,13232.0,0.0,6022.0,279.0,6984.0,400.0,0.0,6132.0,635.0,962.0,,,101.1048,269.49664306640625,133.3779286704152
2019-07-16,EU,28.44,57.38875,22.58,4.9942,13232.0,0.0,6022.0,279.0,6984.0,400.0,0.0,6132.0,635.0,962.0,,,,114.53092193603516,133.3779286704152
2019-07-16,OECD,28.44,57.38875,22.58,4.9942,13232.0,0.0,6022.0,279.0,6984.0,400.0,0.0,6132.0,635.0,962.0,,,100.169,,133.3779286704152
2019-07-17,DE,28.43,56.71269,22.84,4.98441,13793.0,0.0,5400.0,282.0,6981.0,391.0,0.0,5967.0,766.0,1000.0,45.907916666666665,55.03,100.0284,229.7369384765625,133.3779286704152
2019-07-17,FR,28.43,56.71269,22.84,4.98441,13793.0,0.0,5400.0,282.0,6981.0,391.0,0.0,5967.0,766.0,1000.0,45.24583333333334,54.01,100.9621,246.24191284179688,133.3779286704152
