times,iso3,futEUA,futBRENT,futWIT,eqGAS,futWHEAT,gasflowRUStoDE,genBIO,genNUC,genSUN,genWINDONSHORE,genWINDOFFSHORE,genGAS,genCOALGAS,genHYDROSTORAGE,genOIL,MAXELECTRICITYPRICES,MINELECTRICITYPRICES,EPU,OECDplus6_WIP,CCI
2019-01-01,DE,,,,,,178.3,468859.0,672610.0,40365.0,3047300.0,213646.0,272175.0,44177.0,66671.0,46904.0,10.07,-33.57,168.0872344970703,133.32330505965876,101.5574
2019-01-01,FR,,,,,,178.3,8449.0,1264032.0,9342.0,50639.0,,67477.0,,1550.0,5162.0,65.56,20.9,363.0477294921875,133.32330505965876,98.35833
2019-01-01,IT,,,,,,178.3,4232.0,,5875.0,170.0,,91856.0,323.0,3897.0,0.0,65.56,20.0,169.9978485107422,133.32330505965876,101.2847
2019-01-01,ES,,,,,,178.3,6863.0,145741.0,25653.0,80690.0,0.0,153026.0,0.0,,4474.0,68.07,55.47,131.97442626953125,133.32330505965876,101.9147
2019-01-01,UK,,,,,,178.3,,,,,,,,,,,,406.9074096679688,133.32330505965876,99.61681
2019-01-02,DE,24.98,48.44288,45.87561,22.53,,181.3,466502.0,802634.0,124469.0,2355646.0,310799.0,444480.0,40149.0,84180.0,47161.0,62.11,-48.93,168.0872344970703,133.32330505965876,101.5574
2019-01-02,FR,24.98,48.44288,45.87561,22.53,,181.3,8426.0,1325711.0,14493.0,76238.0,,148704.0,,10973.0,5229.0,69.3,25.84,363.0477294921875,133.32330505965876,98.35833
2019-01-02,IT,24.98,48.44288,45.87561,22.53,,181.3,4350.0,,8035.0,256.0,,153934.0,265.0,8831.0,0.0,73.56,36.0,169.9978485107422,133.32330505965876,101.2847
2019-01-02,ES,24.98,48.44288,45.87561,22.53,,181.3,6864.0,145697.0,25654.0,193184.0,0.0,161404.0,0.0,,6597.0,69.3,45.24,131.97442626953125,133.32330505965876,101.9147
2019-01-02,UK,24.98,48.44288,45.87561,22.53,,181.3,,,,,,,,,,,,406.9074096679688,133.32330505965876,99.61681
