,OECDE_CCI,OECDE_CCI,OECD_CCI,G-7_CCI,EA19_CCI,USA_CCI,ESP_CCI,FRA_CCI,ITA_CCI,GBR_CCI,DEU_CCI,RUS_CCI
2019-01-01,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-02,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-03,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-04,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-05,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-06,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-07,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-08,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-09,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-10,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-11,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-12,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-13,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-14,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-15,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-16,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-17,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-18,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-19,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-20,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-21,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-22,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-23,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-24,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-25,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-26,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-27,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-28,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-29,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-30,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-01-31,100.3195,100.3195,100.6711,100.6188,100.9842,,101.9147,98.35833,101.2847,99.61681,101.5574,
2019-02-01,100.3561,100.3561,100.7428,100.6438,101.0292,,102.2387,98.80537,101.035,99.47366,101.5465,
2019-02-02,100.3561,100.3561,100.7428,100.6438,101.0292,,102.2387,98.80537,101.035,99.47366,101.5465,
2019-02-03,100.3561,100.3561,100.7428,100.6438,101.0292,,102.2387,98.80537,101.035,99.47366,101.5465,
