,DE_LU_Eprice,FR_Eprice,IT_NORD_Eprice,ES_Eprice
2018-12-31 23:00:00+00:00,28.32,51.0,51.0,66.88
2019-01-01 00:00:00+00:00,10.07,46.27,46.27,66.88
2019-01-01 01:00:00+00:00,-4.08,39.78,39.78,66.0
2019-01-01 02:00:00+00:00,-9.91,27.87,27.87,63.64
2019-01-01 03:00:00+00:00,-7.41,23.21,22.0,58.85
2019-01-01 04:00:00+00:00,-12.55,22.64,20.0,55.47
2019-01-01 05:00:00+00:00,-17.25,20.9,20.9,56.0
2019-01-01 06:00:00+00:00,-15.07,26.54,26.54,61.09
2019-01-01 07:00:00+00:00,-4.93,25.0,25.0,61.01
2019-01-01 08:00:00+00:00,-6.33,25.0,25.0,61.0
2019-01-01 09:00:00+00:00,-4.93,34.64,34.64,63.0
2019-01-01 10:00:00+00:00,0.45,41.03,41.03,63.0
2019-01-01 11:00:00+00:00,0.12,48.97,48.97,64.03
2019-01-01 12:00:00+00:00,-0.02,41.06,41.06,65.88
2019-01-01 13:00:00+00:00,0.0,37.95,37.95,65.01
2019-01-01 14:00:00+00:00,-0.03,33.42,53.59,60.84
2019-01-01 15:00:00+00:00,1.97,39.8,58.65,61.09
2019-01-01 16:00:00+00:00,9.06,44.29,64.64,63.08
2019-01-01 17:00:00+00:00,0.07,62.65,65.0,66.66
2019-01-01 18:00:00+00:00,-4.97,65.56,65.56,67.06
2019-01-01 19:00:00+00:00,-6.98,61.27,64.23,67.26
2019-01-01 20:00:00+00:00,-24.93,57.41,61.72,68.07
2019-01-01 21:00:00+00:00,-4.87,58.65,58.65,67.08
2019-01-01 22:00:00+00:00,-28.93,54.91,54.91,64.03
2019-01-01 23:00:00+00:00,-33.57,53.11,53.11,61.74
2019-01-02 00:00:00+00:00,-45.92,45.87,45.87,53.0
2019-01-02 01:00:00+00:00,-48.29,39.15,39.15,48.23
2019-01-02 02:00:00+00:00,-44.99,25.84,36.0,47.23
2019-01-02 03:00:00+00:00,-48.93,28.36,39.0,45.24
2019-01-02 04:00:00+00:00,-29.91,30.72,39.0,45.7
2019-01-02 05:00:00+00:00,-0.01,51.1,53.1,51.1
2019-01-02 06:00:00+00:00,37.43,58.37,65.41,58.37
2019-01-02 07:00:00+00:00,48.06,56.82,70.0,63.75
2019-01-02 08:00:00+00:00,50.74,57.44,69.19,66.1
2019-01-02 09:00:00+00:00,47.57,61.09,65.64,65.88
2019-01-02 10:00:00+00:00,43.94,63.63,64.0,63.63
2019-01-02 11:00:00+00:00,40.97,62.8,62.8,62.8
2019-01-02 12:00:00+00:00,44.95,58.65,58.65,63.16
2019-01-02 13:00:00+00:00,49.64,55.64,59.84,61.5
2019-01-02 14:00:00+00:00,53.67,56.72,65.0,60.69
2019-01-02 15:00:00+00:00,56.01,62.19,66.63,62.19
2019-01-02 16:00:00+00:00,56.95,67.1,72.69,67.1
2019-01-02 17:00:00+00:00,62.08,69.3,73.0,69.3
2019-01-02 18:00:00+00:00,62.11,69.25,73.56,69.25
2019-01-02 19:00:00+00:00,57.99,63.43,66.63,68.07
2019-01-02 20:00:00+00:00,55.64,55.64,61.29,68.01
2019-01-02 21:00:00+00:00,55.13,55.97,58.65,66.66
