,DE_LU_BIO,FR_BIO,IT_NORD_BIO,ES_BIO
2019-01-01,468859.0,8449.0,4232.0,6863.0
2019-01-02,466502.0,8426.0,4350.0,6864.0
2019-01-03,467434.0,8425.0,4358.0,7582.0
2019-01-04,470234.0,8278.0,4451.0,7740.0
2019-01-05,468029.0,8234.0,4404.0,7772.0
2019-01-06,466283.0,8219.0,4203.0,7874.0
2019-01-07,467233.0,8282.0,4181.0,7813.0
2019-01-08,465537.0,8488.0,4469.0,7402.0
2019-01-09,468063.0,8475.0,4739.0,8517.0
2019-01-10,472335.0,8475.0,4635.0,8746.0
2019-01-11,475076.0,8455.0,4474.0,8834.0
2019-01-12,477261.0,8454.0,4744.0,8873.0
2019-01-13,475040.0,8466.0,4782.0,8023.0
2019-01-14,472290.0,8469.0,4664.0,8035.0
2019-01-15,471064.0,8517.0,4180.0,8781.0
2019-01-16,472618.0,8509.0,4278.0,8457.0
2019-01-17,472039.0,8493.0,4568.0,8295.0
2019-01-18,471407.0,8572.0,4834.0,8061.0
2019-01-19,475108.0,8459.0,4971.0,7451.0
2019-01-20,477769.0,8526.0,5019.0,7332.0
2019-01-21,476028.0,8551.0,4743.0,7760.0
2019-01-22,476476.0,8424.0,4253.0,8013.0
2019-01-23,475703.0,8473.0,4730.0,7571.0
2019-01-24,468129.0,8351.0,4839.0,8523.0
2019-01-25,474733.0,8296.0,4715.0,8688.0
2019-01-26,475292.0,8346.0,4698.0,8677.0
2019-01-27,473733.0,8500.0,4781.0,8727.0
2019-01-28,467137.0,8409.0,4718.0,9022.0
2019-01-29,467768.0,8083.0,4328.0,9085.0
2019-01-30,468852.0,7885.0,4635.0,9046.0
2019-01-31,471797.0,8157.0,4777.0,9124.0
2019-02-01,473294.0,8511.0,4740.0,8940.0
2019-02-02,472616.0,8325.0,4624.0,8759.0
2019-02-03,472910.0,8286.0,4714.0,8794.0
2019-02-04,470855.0,8351.0,4603.0,8713.0
2019-02-05,467768.0,8368.0,4526.0,8493.0
2019-02-06,468666.0,8369.0,4495.0,9025.0
2019-02-07,470983.0,8342.0,4598.0,8786.0
2019-02-08,472047.0,8338.0,4720.0,8940.0
2019-02-09,469418.0,8325.0,4567.0,8200.0
2019-02-10,471306.0,8104.0,4490.0,8048.0
2019-02-11,469767.0,8312.0,4698.0,8500.0
2019-02-12,472427.0,8472.0,4604.0,9107.0
2019-02-13,474586.0,8331.0,4508.0,9046.0
2019-02-14,474138.0,9204.0,4586.0,8851.0
2019-02-15,471107.0,9446.0,4671.0,9055.0
2019-02-16,476998.0,10837.0,4700.0,8864.0
2019-02-17,477085.0,13535.0,4729.0,8065.0
2019-02-18,472965.0,15169.0,4620.0,7551.0
2019-02-19,470323.0,10717.0,4543.0,8234.0
2019-02-20,468136.0,9068.0,4427.0,8675.0
2019-02-21,472091.0,12657.0,4557.0,8479.0
2019-02-22,473988.0,10776.0,4463.0,8306.0
2019-02-23,476160.0,8510.0,4688.0,8148.0
2019-02-24,473258.0,8497.0,4526.0,7992.0
2019-02-25,472368.0,8520.0,4664.0,8113.0
2019-02-26,470755.0,8520.0,4602.0,8253.0
2019-02-27,459827.0,8524.0,4588.0,8102.0
2019-02-28,464587.0,8236.0,4560.0,8363.0
2019-03-01,474581.0,7900.0,4473.0,7980.0
2019-03-02,475834.0,7881.0,4261.0,7653.0
2019-03-03,475726.0,7883.0,4443.0,7403.0
2019-03-04,469689.0,7828.0,4563.0,7394.0
2019-03-05,471291.0,7890.0,4575.0,7416.0
