,DE_LU_GEO,ES_GEO
2019-01-01,1697.0,0.0
2019-01-02,1848.0,0.0
2019-01-03,2128.0,0.0
2019-01-04,1966.0,0.0
2019-01-05,1711.0,0.0
2019-01-06,1660.0,0.0
2019-01-07,1879.0,0.0
2019-01-08,2050.0,0.0
2019-01-09,1932.0,0.0
2019-01-10,2139.0,0.0
2019-01-11,2037.0,0.0
2019-01-12,2148.0,0.0
2019-01-13,2118.0,0.0
2019-01-14,2176.0,0.0
2019-01-15,2191.0,0.0
2019-01-16,2156.0,0.0
2019-01-17,2093.0,0.0
2019-01-18,2219.0,0.0
2019-01-19,2319.0,0.0
2019-01-20,2159.0,0.0
2019-01-21,1813.0,0.0
2019-01-22,1802.0,0.0
2019-01-23,2083.0,0.0
2019-01-24,2143.0,0.0
2019-01-25,2183.0,0.0
2019-01-26,2032.0,0.0
2019-01-27,2011.0,0.0
2019-01-28,2098.0,0.0
2019-01-29,1894.0,0.0
2019-01-30,1713.0,0.0
2019-01-31,1737.0,0.0
2019-02-01,1883.0,0.0
2019-02-02,1890.0,0.0
2019-02-03,2108.0,0.0
2019-02-04,2170.0,0.0
2019-02-05,2444.0,0.0
2019-02-06,2338.0,0.0
2019-02-07,2391.0,0.0
2019-02-08,2353.0,0.0
2019-02-09,2283.0,0.0
2019-02-10,2240.0,0.0
2019-02-11,1940.0,0.0
2019-02-12,1826.0,0.0
2019-02-13,1859.0,0.0
2019-02-14,2107.0,0.0
2019-02-15,2354.0,0.0
2019-02-16,2349.0,0.0
2019-02-17,2190.0,0.0
2019-02-18,2378.0,0.0
2019-02-19,2156.0,0.0
2019-02-20,2308.0,0.0
2019-02-21,2302.0,0.0
2019-02-22,2359.0,0.0
2019-02-23,2474.0,0.0
2019-02-24,2455.0,0.0
2019-02-25,2362.0,0.0
2019-02-26,2257.0,0.0
2019-02-27,2290.0,0.0
2019-02-28,2183.0,0.0
2019-03-01,2326.0,0.0
2019-03-02,2349.0,0.0
2019-03-03,2249.0,0.0
2019-03-04,2245.0,0.0
2019-03-05,2335.0,0.0
2019-03-06,2320.0,0.0
2019-03-07,2259.0,0.0
2019-03-08,2271.0,0.0
2019-03-09,2241.0,0.0
2019-03-10,2011.0,0.0
2019-03-11,2019.0,0.0
2019-03-12,1870.0,0.0
2019-03-13,1843.0,0.0
2019-03-14,1854.0,0.0
2019-03-15,1874.0,0.0
2019-03-16,1785.0,0.0
2019-03-17,1831.0,0.0
2019-03-18,2040.0,0.0
2019-03-19,2047.0,0.0
2019-03-20,2028.0,0.0
2019-03-21,1992.0,0.0
2019-03-22,1959.0,0.0
2019-03-23,1812.0,0.0
2019-03-24,1863.0,0.0
2019-03-25,1968.0,0.0
2019-03-26,2015.0,0.0
2019-03-27,2019.0,0.0
2019-03-28,1909.0,0.0
2019-03-29,1721.0,0.0
2019-03-30,1781.0,0.0
2019-03-31,1855.0,0.0
2019-04-01,1944.0,0.0
2019-04-02,1856.0,0.0
2019-04-03,1827.0,0.0
2019-04-04,1979.0,0.0
2019-04-05,2022.0,0.0
2019-04-06,2011.0,0.0
2019-04-07,1938.0,0.0
2019-04-08,2006.0,0.0
2019-04-09,2007.0,0.0
2019-04-10,2246.0,0.0
2019-04-11,2186.0,0.0
2019-04-12,2196.0,0.0
2019-04-13,1886.0,0.0
2019-04-14,1906.0,0.0
2019-04-15,2025.0,0.0
2019-04-16,2288.0,0.0
2019-04-17,2283.0,0.0
2019-04-18,2180.0,0.0
2019-04-19,1959.0,0.0
2019-04-20,2201.0,0.0
2019-04-21,2173.0,0.0
2019-04-22,2094.0,0.0
2019-04-23,2038.0,0.0
2019-04-24,1872.0,0.0
2019-04-25,1816.0,0.0
2019-04-26,2297.0,0.0
2019-04-27,2223.0,0.0
2019-04-28,2396.0,0.0
2019-04-29,2314.0,0.0
2019-04-30,2208.0,0.0
2019-05-01,2112.0,0.0
2019-05-02,1926.0,0.0
2019-05-03,2133.0,0.0
2019-05-04,2235.0,0.0
2019-05-05,2333.0,0.0
2019-05-06,2016.0,0.0
2019-05-07,1929.0,0.0
2019-05-08,2115.0,0.0
2019-05-09,2131.0,0.0
2019-05-10,2012.0,0.0
2019-05-11,2107.0,0.0
2019-05-12,2014.0,0.0
2019-05-13,1814.0,0.0
2019-05-14,1860.0,0.0
2019-05-15,1855.0,0.0
2019-05-16,1539.0,0.0
2019-05-17,1495.0,0.0
2019-05-18,1627.0,0.0
2019-05-19,1300.0,0.0
2019-05-20,1345.0,0.0
2019-05-21,1344.0,0.0
2019-05-22,1569.0,0.0
2019-05-23,1875.0,0.0
2019-05-24,1797.0,0.0
2019-05-25,1924.0,0.0
2019-05-26,1815.0,0.0
2019-05-27,1911.0,0.0
2019-05-28,2146.0,0.0
2019-05-29,2201.0,0.0
2019-05-30,2066.0,0.0
2019-05-31,1899.0,0.0
2019-06-01,1821.0,0.0
2019-06-02,1740.0,0.0
2019-06-03,1472.0,0.0
2019-06-04,1398.0,0.0
2019-06-05,1421.0,0.0
2019-06-06,1836.0,0.0
2019-06-07,1756.0,0.0
2019-06-08,1935.0,0.0
2019-06-09,1788.0,0.0
2019-06-10,1784.0,0.0
2019-06-11,1848.0,0.0
2019-06-12,1922.0,0.0
2019-06-13,1875.0,0.0
2019-06-14,1610.0,0.0
2019-06-15,1613.0,0.0
2019-06-16,1600.0,0.0
2019-06-17,1591.0,0.0
2019-06-18,1640.0,0.0
2019-06-19,1590.0,0.0
2019-06-20,1646.0,0.0
2019-06-21,1654.0,0.0
2019-06-22,1775.0,0.0
2019-06-23,1603.0,0.0
2019-06-24,1294.0,0.0
2019-06-25,1041.0,0.0
2019-06-26,967.0,0.0
2019-06-27,994.0,0.0
2019-06-28,1282.0,0.0
2019-06-29,1235.0,0.0
2019-06-30,959.0,0.0
2019-07-01,1066.0,0.0
2019-07-02,1230.0,0.0
2019-07-03,1273.0,0.0
2019-07-04,1458.0,0.0
2019-07-05,1381.0,0.0
2019-07-06,1212.0,0.0
2019-07-07,1487.0,0.0
2019-07-08,1609.0,0.0
2019-07-09,1600.0,0.0
2019-07-10,1624.0,0.0
2019-07-11,1684.0,0.0
2019-07-12,1741.0,0.0
2019-07-13,1814.0,0.0
2019-07-14,1779.0,0.0
2019-07-15,1783.0,0.0
2019-07-16,1474.0,0.0
2019-07-17,1616.0,0.0
2019-07-18,1814.0,0.0
2019-07-19,1795.0,0.0
2019-07-20,1595.0,0.0
2019-07-21,1596.0,0.0
2019-07-22,1428.0,0.0
2019-07-23,1367.0,0.0
2019-07-24,1229.0,0.0
2019-07-25,1073.0,0.0
2019-07-26,1165.0,0.0
2019-07-27,1468.0,0.0
2019-07-28,1636.0,0.0
2019-07-29,1775.0,0.0
2019-07-30,1663.0,0.0
2019-07-31,1872.0,0.0
2019-08-01,1805.0,0.0
2019-08-02,1779.0,0.0
2019-08-03,1835.0,0.0
2019-08-04,1799.0,0.0
2019-08-05,1676.0,0.0
2019-08-06,1650.0,0.0
2019-08-07,1754.0,0.0
2019-08-08,1625.0,0.0
2019-08-09,1331.0,0.0
2019-08-10,1634.0,0.0
2019-08-11,1574.0,0.0
2019-08-12,1744.0,0.0
2019-08-13,1830.0,0.0
2019-08-14,1892.0,0.0
2019-08-15,1887.0,0.0
2019-08-16,1839.0,0.0
2019-08-17,1768.0,0.0
2019-08-18,1490.0,0.0
2019-08-19,1646.0,0.0
2019-08-20,1800.0,0.0
2019-08-21,1725.0,0.0
2019-08-22,2000.0,0.0
2019-08-23,2112.0,0.0
2019-08-24,1993.0,0.0
2019-08-25,1985.0,0.0
2019-08-26,1963.0,0.0
2019-08-27,1931.0,0.0
2019-08-28,1897.0,0.0
2019-08-29,2014.0,0.0
2019-08-30,1990.0,0.0
2019-08-31,1934.0,0.0
2019-09-01,1969.0,0.0
2019-09-02,2254.0,0.0
