,DE_LU_HYDRORIVER,FR_HYDRORIVER,IT_NORD_HYDRORIVER,ES_HYDRORIVER
2019-01-01,133424.0,80664.0,35338.0,22546.0
2019-01-02,128797.0,90396.0,37696.0,21946.0
2019-01-03,128454.0,97230.0,39914.0,21600.0
2019-01-04,128700.0,101808.0,43825.0,21477.0
2019-01-05,127278.0,81129.0,40203.0,18282.0
2019-01-06,127301.0,68896.0,33590.0,16816.0
2019-01-07,136273.0,85900.0,50317.0,17758.0
2019-01-08,142493.0,88768.0,54748.0,17203.0
2019-01-09,140427.0,88175.0,44218.0,17371.0
2019-01-10,142949.0,103838.0,47053.0,18005.0
2019-01-11,142550.0,95849.0,45199.0,18847.0
2019-01-12,132090.0,73160.0,35016.0,16933.0
2019-01-13,136523.0,67924.0,33972.0,17255.0
2019-01-14,162761.0,99834.0,48683.0,17510.0
2019-01-15,156204.0,107880.0,49151.0,18500.0
2019-01-16,145155.0,109434.0,49769.0,18576.0
2019-01-17,140071.0,108551.0,48946.0,18372.0
2019-01-18,144946.0,111335.0,48943.0,18348.0
2019-01-19,147624.0,96705.0,40524.0,16821.0
2019-01-20,137470.0,83595.0,34014.0,20196.0
2019-01-21,141386.0,106179.0,47322.0,23208.0
2019-01-22,149750.0,106746.0,49908.0,24007.0
2019-01-23,147487.0,113140.0,55198.0,26612.0
2019-01-24,148713.0,119398.0,61397.0,28946.0
2019-01-25,146389.0,110691.0,45481.0,28425.0
2019-01-26,131575.0,76550.0,33914.0,28074.0
2019-01-27,117727.0,67537.0,30491.0,25554.0
2019-01-28,118170.0,91130.0,41465.0,29423.0
2019-01-29,132770.0,104185.0,43154.0,30307.0
2019-01-30,128850.0,110241.0,42501.0,31667.0
2019-01-31,130339.0,122733.0,46435.0,35697.0
2019-02-01,126976.0,131418.0,49262.0,38512.0
2019-02-02,127660.0,120252.0,44856.0,36386.0
2019-02-03,122009.0,113776.0,42354.0,34965.0
2019-02-04,119010.0,130463.0,50029.0,33913.0
2019-02-05,127119.0,132213.0,44092.0,32479.0
2019-02-06,124382.0,125323.0,47562.0,34754.0
2019-02-07,123997.0,119313.0,46933.0,36275.0
2019-02-08,127485.0,115750.0,47199.0,36207.0
2019-02-09,121549.0,98187.0,40290.0,34997.0
2019-02-10,123376.0,98331.0,37237.0,34409.0
2019-02-11,142497.0,130016.0,44894.0,36658.0
2019-02-12,142047.0,126735.0,50461.0,35164.0
2019-02-13,138918.0,126369.0,47467.0,34809.0
2019-02-14,139452.0,127344.0,43954.0,32360.0
2019-02-15,142989.0,125021.0,43254.0,32178.0
2019-02-16,135872.0,106886.0,35704.0,29815.0
2019-02-17,126634.0,97159.0,36045.0,28645.0
2019-02-18,131341.0,117649.0,45820.0,30316.0
2019-02-19,134739.0,124333.0,37910.0,30902.0
2019-02-20,138113.0,123095.0,40277.0,31065.0
2019-02-21,142209.0,118977.0,38448.0,29200.0
2019-02-22,153935.0,118717.0,40447.0,27532.0
2019-02-23,156647.0,96915.0,35372.0,25428.0
2019-02-24,141982.0,89623.0,29545.0,24749.0
2019-02-25,140604.0,106678.0,38617.0,26597.0
2019-02-26,146218.0,110202.0,43623.0,27247.0
2019-02-27,149734.0,109662.0,38014.0,27235.0
2019-02-28,152848.0,105249.0,40136.0,27180.0
2019-03-01,167009.0,122563.0,38222.0,27080.0
2019-03-02,174902.0,116616.0,33076.0,25958.0
2019-03-03,150971.0,94728.0,33102.0,23882.0
2019-03-04,152987.0,105706.0,31692.0,26983.0
