,DE_LU_HYDROSTORAGE,FR_HYDROSTORAGE,IT_NORD_HYDROSTORAGE
2019-01-01,66671.0,1550.0,3897.0
2019-01-02,84180.0,10973.0,8831.0
2019-01-03,135867.0,16627.0,3260.0
2019-01-04,81286.0,22215.0,4210.0
2019-01-05,67840.0,8765.0,1700.0
2019-01-06,87668.0,9491.0,2012.0
2019-01-07,162205.0,19166.0,8376.0
2019-01-08,83658.0,10789.0,11362.0
2019-01-09,96467.0,19075.0,2373.0
2019-01-10,184807.0,32482.0,5165.0
2019-01-11,107214.0,20366.0,3982.0
2019-01-12,74119.0,6042.0,3759.0
2019-01-13,40258.0,1308.0,1521.0
2019-01-14,132308.0,23552.0,8177.0
2019-01-15,115734.0,14701.0,6225.0
2019-01-16,113449.0,11870.0,4927.0
2019-01-17,65948.0,7843.0,2413.0
2019-01-18,165806.0,17627.0,3028.0
2019-01-19,58391.0,9158.0,1482.0
2019-01-20,68552.0,2698.0,0.0
2019-01-21,187087.0,27331.0,9935.0
2019-01-22,113674.0,14905.0,8050.0
2019-01-23,192955.0,30935.0,10012.0
2019-01-24,175136.0,38073.0,9130.0
2019-01-25,151133.0,23428.0,1784.0
2019-01-26,82989.0,2447.0,2435.0
2019-01-27,65271.0,2706.0,1295.0
2019-01-28,111968.0,18321.0,3787.0
2019-01-29,164522.0,17034.0,2442.0
2019-01-30,122412.0,23373.0,1565.0
2019-01-31,169096.0,27357.0,3867.0
2019-02-01,122825.0,14521.0,2637.0
2019-02-02,68818.0,5254.0,3167.0
2019-02-03,65712.0,7797.0,2144.0
2019-02-04,96734.0,21945.0,5134.0
2019-02-05,138744.0,23747.0,52.0
2019-02-06,123161.0,17017.0,3775.0
2019-02-07,114323.0,14540.0,7540.0
2019-02-08,132368.0,7447.0,4351.0
2019-02-09,70831.0,2288.0,5898.0
2019-02-10,82167.0,2841.0,2358.0
2019-02-11,147411.0,17571.0,8872.0
2019-02-12,110006.0,18920.0,5133.0
2019-02-13,97911.0,16747.0,7043.0
2019-02-14,130395.0,16338.0,5317.0
2019-02-15,106389.0,13907.0,2298.0
2019-02-16,84954.0,5895.0,2352.0
2019-02-17,58611.0,3591.0,1360.0
2019-02-18,130803.0,14241.0,6277.0
2019-02-19,91383.0,18435.0,1447.0
2019-02-20,130560.0,22906.0,2462.0
2019-02-21,89981.0,21130.0,1513.0
2019-02-22,123507.0,12505.0,4345.0
2019-02-23,47510.0,7054.0,4209.0
2019-02-24,52686.0,5462.0,5171.0
2019-02-25,128043.0,12601.0,2621.0
2019-02-26,125757.0,16894.0,6422.0
2019-02-27,121400.0,15725.0,3007.0
2019-02-28,68492.0,12985.0,2410.0
2019-03-01,157207.0,25257.0,3728.0
2019-03-02,55777.0,9136.0,1967.0
2019-03-03,116977.0,1325.0,222.0
2019-03-04,141034.0,11336.0,3100.0
2019-03-05,131669.0,15755.0,3067.0
2019-03-06,103565.0,24619.0,8910.0
2019-03-07,112659.0,11454.0,4120.0
2019-03-08,171312.0,22061.0,2244.0
2019-03-09,85842.0,394.0,539.0
2019-03-10,131914.0,7041.0,1790.0
2019-03-11,164672.0,18565.0,5395.0
2019-03-12,101675.0,13817.0,8858.0
2019-03-13,152227.0,6008.0,6129.0
2019-03-14,143182.0,22446.0,6684.0
2019-03-15,134043.0,18922.0,5342.0
2019-03-16,161710.0,7919.0,699.0
2019-03-17,88425.0,5486.0,2032.0
2019-03-18,149062.0,20452.0,6746.0
2019-03-19,142045.0,20947.0,3886.0
2019-03-20,100331.0,16901.0,588.0
2019-03-21,94509.0,16475.0,932.0
2019-03-22,104482.0,13428.0,1941.0
2019-03-23,81530.0,7471.0,3274.0
2019-03-24,72283.0,1621.0,3733.0
2019-03-25,117852.0,10247.0,2078.0
2019-03-26,108651.0,13908.0,3968.0
2019-03-27,83681.0,13247.0,710.0
2019-03-28,119201.0,15273.0,2835.0
2019-03-29,101433.0,15159.0,4447.0
2019-03-30,103654.0,11443.0,1334.0
2019-03-31,46513.0,3612.0,2221.0
2019-04-01,124230.0,16646.0,7237.0
2019-04-02,136945.0,12905.0,4869.0
2019-04-03,143113.0,21914.0,9089.0
2019-04-04,161867.0,18102.0,6278.0
2019-04-05,147233.0,19328.0,5726.0
2019-04-06,84017.0,9977.0,96.0
2019-04-07,52504.0,3488.0,1287.0
2019-04-08,135899.0,13948.0,7576.0
2019-04-09,99013.0,8813.0,8603.0
2019-04-10,85087.0,11694.0,13256.0
2019-04-11,115728.0,11967.0,6970.0
2019-04-12,123176.0,11529.0,2873.0
2019-04-13,74466.0,8244.0,2934.0
2019-04-14,74864.0,7609.0,2630.0
2019-04-15,115258.0,11892.0,2889.0
2019-04-16,134720.0,14824.0,7242.0
2019-04-17,104543.0,9918.0,8814.0
2019-04-18,146755.0,10880.0,5203.0
2019-04-19,100296.0,9838.0,4731.0
2019-04-20,98098.0,4091.0,7867.0
2019-04-21,103937.0,9756.0,2474.0
2019-04-22,32236.0,3661.0,3813.0
2019-04-23,167319.0,19683.0,5275.0
2019-04-24,93160.0,9986.0,3650.0
2019-04-25,144484.0,9481.0,1917.0
2019-04-26,134418.0,14921.0,1290.0
2019-04-27,82537.0,6129.0,6791.0
2019-04-28,55499.0,7477.0,2831.0
2019-04-29,131801.0,24077.0,9665.0
2019-04-30,134172.0,21397.0,10172.0
2019-05-01,26937.0,0.0,7195.0
2019-05-02,116081.0,17379.0,8157.0
2019-05-03,137310.0,17503.0,4556.0
2019-05-04,65460.0,7009.0,2218.0
2019-05-05,60369.0,7262.0,2689.0
2019-05-06,135709.0,22465.0,3224.0
2019-05-07,139862.0,26131.0,5316.0
2019-05-08,90634.0,3493.0,7829.0
2019-05-09,104679.0,14215.0,4791.0
2019-05-10,142294.0,18545.0,3906.0
2019-05-11,34819.0,4819.0,2430.0
2019-05-12,51092.0,3422.0,2969.0
2019-05-13,77000.0,15166.0,5246.0
2019-05-14,60162.0,16476.0,2817.0
2019-05-15,81232.0,15802.0,4078.0
2019-05-16,85824.0,20539.0,3301.0
2019-05-17,114508.0,24741.0,2455.0
2019-05-18,86416.0,8563.0,2636.0
2019-05-19,45073.0,3165.0,2594.0
2019-05-20,150375.0,27267.0,3238.0
2019-05-21,81561.0,17478.0,7215.0
2019-05-22,103166.0,17765.0,4954.0
2019-05-23,93257.0,21605.0,5044.0
2019-05-24,91003.0,13272.0,5159.0
2019-05-25,75799.0,1218.0,3502.0
2019-05-26,51526.0,1373.0,3796.0
2019-05-27,115673.0,15066.0,8464.0
2019-05-28,110289.0,15965.0,7069.0
2019-05-29,126263.0,19808.0,7866.0
2019-05-30,62156.0,6025.0,10100.0
2019-05-31,117760.0,10898.0,14850.0
2019-06-01,108279.0,15317.0,6526.0
2019-06-02,97718.0,9001.0,2119.0
2019-06-03,142711.0,25607.0,7794.0
2019-06-04,88499.0,21702.0,9226.0
2019-06-05,133289.0,16107.0,12002.0
2019-06-06,142868.0,16548.0,12185.0
2019-06-07,132652.0,6408.0,12980.0
2019-06-08,81809.0,4556.0,5504.0
2019-06-09,67262.0,5466.0,4726.0
2019-06-10,57112.0,6414.0,10063.0
2019-06-11,128077.0,23985.0,6648.0
2019-06-12,148758.0,20039.0,11793.0
2019-06-13,95234.0,15091.0,10419.0
