,DE_LU_NUC,FR_NUC,ES_NUC
2019-01-01,672610.0,1264032.0,145741.0
2019-01-02,802634.0,1325711.0,145697.0
2019-01-03,910358.0,1341936.0,147561.0
2019-01-04,885415.0,1340824.0,150365.0
2019-01-05,878505.0,1294627.0,152049.0
2019-01-06,902024.0,1319053.0,169964.0
2019-01-07,890305.0,1339942.0,170724.0
2019-01-08,866031.0,1318678.0,170785.0
2019-01-09,890094.0,1326305.0,170780.0
2019-01-10,910321.0,1316817.0,170727.0
2019-01-11,875951.0,1312403.0,170419.0
2019-01-12,854589.0,1263823.0,170582.0
2019-01-13,830185.0,1212553.0,170275.0
2019-01-14,824917.0,1219146.0,170313.0
2019-01-15,866588.0,1247229.0,170683.0
2019-01-16,865061.0,1273918.0,170668.0
2019-01-17,869918.0,1275026.0,170707.0
2019-01-18,905157.0,1284049.0,165331.0
2019-01-19,911370.0,1187893.0,146211.0
2019-01-20,910704.0,1236474.0,145769.0
2019-01-21,910029.0,1262377.0,145832.0
2019-01-22,909417.0,1275610.0,146286.0
2019-01-23,911171.0,1300745.0,153448.0
2019-01-24,912553.0,1314087.0,165835.0
2019-01-25,909707.0,1311445.0,170492.0
2019-01-26,905677.0,1293651.0,170794.0
2019-01-27,892130.0,1272555.0,170740.0
2019-01-28,904945.0,1323938.0,170578.0
2019-01-29,908315.0,1325676.0,170798.0
2019-01-30,890457.0,1318729.0,170835.0
2019-01-31,908978.0,1309883.0,170725.0
2019-02-01,898409.0,1318117.0,170768.0
2019-02-02,907211.0,1324677.0,170829.0
2019-02-03,904717.0,1315683.0,170815.0
2019-02-04,858405.0,1331728.0,170839.0
2019-02-05,877471.0,1318202.0,163717.0
2019-02-06,908225.0,1324817.0,170830.0
2019-02-07,893722.0,1317041.0,170819.0
2019-02-08,871809.0,1312994.0,170813.0
2019-02-09,786688.0,1246077.0,170793.0
2019-02-10,793162.0,1241232.0,170777.0
2019-02-11,845684.0,1310778.0,170693.0
2019-02-12,895434.0,1324732.0,170717.0
2019-02-13,889299.0,1322125.0,170605.0
2019-02-14,906164.0,1289904.0,170724.0
2019-02-15,900592.0,1282425.0,170495.0
2019-02-16,882922.0,1228041.0,159113.0
2019-02-17,902629.0,1222154.0,165336.0
2019-02-18,903401.0,1267079.0,170646.0
2019-02-19,870852.0,1261855.0,170697.0
2019-02-20,900759.0,1265998.0,170750.0
2019-02-21,899185.0,1281816.0,170717.0
2019-02-22,902553.0,1281707.0,170686.0
2019-02-23,903803.0,1217738.0,170622.0
2019-02-24,886063.0,1242219.0,170647.0
2019-02-25,899708.0,1269582.0,170649.0
2019-02-26,902466.0,1277166.0,170486.0
2019-02-27,900186.0,1277813.0,170613.0
2019-02-28,894490.0,1266438.0,170138.0
2019-03-01,901454.0,1224457.0,170518.0
2019-03-02,900172.0,1197182.0,170471.0
2019-03-03,662250.0,950584.0,170442.0
2019-03-04,832209.0,1147776.0,170418.0
2019-03-05,870181.0,1206322.0,169805.0
2019-03-06,891493.0,1213586.0,170482.0
2019-03-07,853393.0,1207731.0,170443.0
2019-03-08,826634.0,1211259.0,170595.0
2019-03-09,752621.0,1060690.0,170492.0
2019-03-10,870106.0,1012290.0,170359.0
2019-03-11,896072.0,1185983.0,170381.0
2019-03-12,881398.0,1211003.0,170201.0
2019-03-13,877677.0,1198952.0,170157.0
2019-03-14,890905.0,1224201.0,170214.0
2019-03-15,881503.0,1167769.0,170051.0
2019-03-16,852733.0,1013493.0,170085.0
2019-03-17,773881.0,883289.0,170108.0
2019-03-18,855827.0,1104399.0,170250.0
2019-03-19,905261.0,1153204.0,170358.0
2019-03-20,899768.0,1162740.0,170395.0
2019-03-21,899672.0,1137535.0,170356.0
2019-03-22,900309.0,1139167.0,170352.0
2019-03-23,899091.0,1113358.0,170307.0
2019-03-24,896336.0,1124058.0,170338.0
2019-03-25,892788.0,1170746.0,170321.0
2019-03-26,867148.0,1205798.0,170353.0
2019-03-27,896016.0,1213295.0,170399.0
2019-03-28,900964.0,1197128.0,170429.0
2019-03-29,898630.0,1163083.0,170399.0
2019-03-30,896192.0,1139652.0,170426.0
2019-03-31,866079.0,1008948.0,170448.0
2019-04-01,897981.0,1100529.0,170117.0
2019-04-02,876871.0,1078707.0,170034.0
2019-04-03,897984.0,1074770.0,170208.0
2019-04-04,899025.0,1069110.0,158639.0
2019-04-05,903146.0,1095409.0,145187.0
2019-04-06,899112.0,1040974.0,138034.0
2019-04-07,895171.0,1086009.0,144712.0
2019-04-08,880547.0,1135959.0,145109.0
2019-04-09,890927.0,1148292.0,145154.0
2019-04-10,895513.0,1120185.0,145128.0
2019-04-11,900983.0,1115021.0,145102.0
2019-04-12,902766.0,1084494.0,144842.0
2019-04-13,831477.0,1035358.0,144883.0
2019-04-14,773119.0,1033526.0,144617.0
2019-04-15,765678.0,968870.0,144423.0
2019-04-16,766741.0,1078962.0,144894.0
2019-04-17,762418.0,1068150.0,144876.0
2019-04-18,745240.0,1062370.0,165676.0
2019-04-19,745765.0,1075566.0,168575.0
2019-04-20,727649.0,996328.0,168554.0
2019-04-21,516815.0,946208.0,168462.0
2019-04-22,403307.0,849183.0,168227.0
2019-04-23,556125.0,1010812.0,167917.0
2019-04-24,614757.0,1074252.0,167917.0
2019-04-25,635326.0,1077273.0,167642.0
2019-04-26,639733.0,1077996.0,160041.0
2019-04-27,606984.0,936785.0,146208.0
2019-04-28,637353.0,988763.0,146124.0
2019-04-29,642101.0,1076569.0,145976.0
2019-04-30,638276.0,1047988.0,145766.0
2019-05-01,611626.0,1012558.0,145646.0
2019-05-02,622638.0,1047296.0,145620.0
2019-05-03,631597.0,1075495.0,145623.0
2019-05-04,626991.0,1045562.0,145491.0
2019-05-05,636531.0,1037815.0,145389.0
2019-05-06,638682.0,1070647.0,145248.0
2019-05-07,639258.0,1056636.0,145125.0
2019-05-08,638361.0,1046692.0,144941.0
2019-05-09,637067.0,1034071.0,144967.0
2019-05-10,636920.0,1033836.0,125700.0
2019-05-11,633616.0,980881.0,121877.0
2019-05-12,606341.0,884931.0,121940.0
2019-05-13,632750.0,983304.0,121976.0
2019-05-14,634441.0,985987.0,121505.0
2019-05-15,635031.0,1034203.0,121325.0
2019-05-16,633554.0,1073670.0,121465.0
2019-05-17,591933.0,1082477.0,121854.0
2019-05-18,515057.0,1034905.0,121371.0
2019-05-19,513359.0,1019955.0,122125.0
2019-05-20,515328.0,1048803.0,122076.0
2019-05-21,513839.0,1060160.0,121941.0
2019-05-22,515858.0,1056583.0,121812.0
2019-05-23,517175.0,1050153.0,121376.0
2019-05-24,515886.0,1027010.0,121552.0
2019-05-25,514600.0,945386.0,121634.0
2019-05-26,466569.0,870553.0,121635.0
2019-05-27,560468.0,998010.0,121507.0
2019-05-28,638805.0,1019282.0,121425.0
2019-05-29,675908.0,1025273.0,121451.0
2019-05-30,631360.0,919969.0,121430.0
2019-05-31,667897.0,988449.0,121433.0
