,DE_LU_OIL,FR_OIL,IT_NORD_OIL,ES_OIL
2019-01-01,46904.0,5162.0,0.0,4474.0
2019-01-02,47161.0,5229.0,0.0,6597.0
2019-01-03,45840.0,5213.0,0.0,6899.0
2019-01-04,47695.0,5202.0,427.0,6991.0
2019-01-05,48108.0,5144.0,0.0,6125.0
2019-01-06,48107.0,5166.0,417.0,5272.0
2019-01-07,47771.0,5170.0,598.0,6462.0
2019-01-08,47209.0,5197.0,589.0,6884.0
2019-01-09,47333.0,5200.0,432.0,7576.0
2019-01-10,57113.0,10653.0,431.0,7186.0
2019-01-11,51315.0,7418.0,0.0,7405.0
2019-01-12,47689.0,5186.0,0.0,5767.0
2019-01-13,47690.0,5128.0,0.0,5299.0
2019-01-14,47823.0,5122.0,417.0,7030.0
2019-01-15,48271.0,5099.0,33.0,7672.0
2019-01-16,47649.0,5183.0,1014.0,7481.0
2019-01-17,45921.0,5187.0,429.0,7336.0
2019-01-18,46194.0,5183.0,428.0,7634.0
2019-01-19,47391.0,5178.0,439.0,6258.0
2019-01-20,47777.0,5153.0,0.0,5240.0
2019-01-21,48385.0,8616.0,429.0,6577.0
2019-01-22,59896.0,5178.0,432.0,7012.0
2019-01-23,57389.0,9514.0,429.0,7025.0
2019-01-24,62324.0,12529.0,429.0,6829.0
2019-01-25,49744.0,5193.0,429.0,7044.0
2019-01-26,46796.0,5173.0,616.0,5966.0
2019-01-27,47095.0,5159.0,0.0,5100.0
2019-01-28,47576.0,5195.0,0.0,6511.0
2019-01-29,47451.0,5605.0,429.0,7346.0
2019-01-30,48487.0,7809.0,0.0,7450.0
2019-01-31,47027.0,7744.0,440.0,7002.0
2019-02-01,46323.0,6034.0,0.0,7301.0
2019-02-02,47089.0,5997.0,0.0,5683.0
2019-02-03,47075.0,6811.0,428.0,5278.0
2019-02-04,48836.0,9772.0,429.0,6716.0
2019-02-05,47365.0,6676.0,440.0,7022.0
2019-02-06,46350.0,6038.0,584.0,7140.0
2019-02-07,47747.0,6034.0,418.0,7332.0
2019-02-08,44949.0,6043.0,0.0,7333.0
2019-02-09,44688.0,6018.0,0.0,5602.0
2019-02-10,43510.0,5978.0,0.0,4962.0
2019-02-11,43628.0,6031.0,595.0,6298.0
2019-02-12,49917.0,7756.0,433.0,6920.0
2019-02-13,64865.0,6053.0,0.0,7045.0
2019-02-14,67141.0,7775.0,0.0,6645.0
2019-02-15,66153.0,6402.0,0.0,6909.0
2019-02-16,67985.0,6020.0,0.0,5492.0
2019-02-17,67275.0,5989.0,0.0,5085.0
2019-02-18,66252.0,5657.0,0.0,6167.0
2019-02-19,64249.0,6015.0,0.0,6814.0
2019-02-20,63247.0,6031.0,0.0,6875.0
2019-02-21,64855.0,6072.0,0.0,6480.0
2019-02-22,63198.0,6068.0,0.0,6775.0
2019-02-23,63232.0,6038.0,0.0,5693.0
2019-02-24,63790.0,6013.0,0.0,4701.0
2019-02-25,63535.0,6068.0,0.0,6175.0
2019-02-26,63799.0,7072.0,0.0,6881.0
2019-02-27,63122.0,6078.0,0.0,6169.0
2019-02-28,65158.0,7133.0,0.0,6820.0
2019-03-01,63043.0,4415.0,0.0,6806.0
2019-03-02,63212.0,4401.0,0.0,5580.0
2019-03-03,63608.0,4423.0,0.0,4522.0
2019-03-04,63389.0,4434.0,0.0,6095.0
2019-03-05,60704.0,5367.0,0.0,6696.0
2019-03-06,59674.0,5725.0,0.0,6814.0
2019-03-07,59693.0,4466.0,0.0,6672.0
2019-03-08,60083.0,4641.0,0.0,6958.0
2019-03-09,60943.0,4503.0,0.0,5363.0
2019-03-10,59954.0,4491.0,0.0,4915.0
2019-03-11,60260.0,4495.0,0.0,6399.0
2019-03-12,61052.0,5235.0,0.0,6916.0
2019-03-13,61886.0,4463.0,0.0,6836.0
2019-03-14,61748.0,5268.0,0.0,6845.0
2019-03-15,61569.0,4407.0,0.0,7099.0
2019-03-16,41995.0,4392.0,0.0,6236.0
2019-03-17,28189.0,4387.0,0.0,4715.0
2019-03-18,26758.0,4578.0,0.0,6056.0
2019-03-19,27557.0,4362.0,0.0,5837.0
2019-03-20,27559.0,4363.0,0.0,6107.0
2019-03-21,27698.0,4402.0,0.0,6438.0
2019-03-22,28142.0,4377.0,0.0,7117.0
2019-03-23,28610.0,4338.0,0.0,5923.0
2019-03-24,28922.0,4324.0,0.0,5393.0
2019-03-25,29032.0,4369.0,0.0,6791.0
2019-03-26,28391.0,4372.0,0.0,7268.0
2019-03-27,28442.0,4376.0,0.0,7221.0
2019-03-28,28303.0,4315.0,0.0,7077.0
2019-03-29,28394.0,5101.0,0.0,7330.0
2019-03-30,28809.0,4305.0,0.0,5547.0
2019-03-31,28392.0,4053.0,0.0,5312.0
2019-04-01,27860.0,3597.0,0.0,5605.0
2019-04-02,29008.0,3585.0,0.0,5514.0
2019-04-03,29881.0,5000.0,0.0,5961.0
2019-04-04,31814.0,4586.0,0.0,6455.0
2019-04-05,30173.0,3554.0,0.0,6660.0
2019-04-06,29951.0,3563.0,0.0,5436.0
2019-04-07,29966.0,3531.0,0.0,4752.0
2019-04-08,30151.0,3585.0,0.0,6340.0
2019-04-09,30244.0,3581.0,0.0,6721.0
2019-04-10,29740.0,3533.0,0.0,6798.0
2019-04-11,29236.0,3632.0,0.0,6978.0
2019-04-12,28974.0,3733.0,0.0,6928.0
2019-04-13,30144.0,3592.0,0.0,5462.0
2019-04-14,29147.0,3556.0,0.0,4717.0
2019-04-15,29293.0,3275.0,0.0,6295.0
2019-04-16,30790.0,3581.0,0.0,6850.0
2019-04-17,29360.0,3592.0,0.0,6881.0
2019-04-18,29434.0,3469.0,0.0,6722.0
2019-04-19,29805.0,3479.0,0.0,5115.0
2019-04-20,29707.0,3399.0,0.0,4372.0
2019-04-21,30523.0,3439.0,0.0,4192.0
2019-04-22,32668.0,3455.0,0.0,6039.0
2019-04-23,33515.0,3461.0,0.0,6463.0
2019-04-24,32247.0,3468.0,0.0,6185.0
2019-04-25,32713.0,3479.0,0.0,5362.0
2019-04-26,34153.0,3479.0,0.0,6623.0
2019-04-27,34071.0,3432.0,0.0,5243.0
2019-04-28,32653.0,3433.0,0.0,4634.0
2019-04-29,33023.0,3470.0,0.0,6374.0
2019-04-30,33614.0,3465.0,0.0,6733.0
2019-05-01,33627.0,3352.0,0.0,5882.0
2019-05-02,32805.0,3416.0,0.0,6495.0
2019-05-03,34209.0,3224.0,0.0,6915.0
2019-05-04,32650.0,3233.0,0.0,4947.0
2019-05-05,32563.0,3411.0,0.0,4148.0
2019-05-06,33145.0,3423.0,0.0,6676.0
2019-05-07,33392.0,3463.0,0.0,6906.0
2019-05-08,32120.0,3413.0,0.0,6473.0
2019-05-09,33651.0,3481.0,0.0,6687.0
2019-05-10,33402.0,3498.0,0.0,6487.0
2019-05-11,32240.0,3503.0,0.0,5183.0
2019-05-12,31008.0,3469.0,0.0,4395.0
2019-05-13,30920.0,3508.0,0.0,6288.0
2019-05-14,30703.0,3302.0,0.0,6774.0
2019-05-15,31614.0,3523.0,0.0,7247.0
2019-05-16,31535.0,3559.0,0.0,7031.0
