,DE_LU_SUN,FR_SUN,IT_NORD_SUN,ES_SUN
2019-01-01,40365.0,9342.0,5875.0,25653.0
2019-01-02,124469.0,14493.0,8035.0,25654.0
2019-01-03,90115.0,19307.0,10957.0,22583.0
2019-01-04,38324.0,15423.0,12435.0,23923.0
2019-01-05,27223.0,16381.0,6835.0,26112.0
2019-01-06,47374.0,10727.0,12911.0,26696.0
2019-01-07,41718.0,10654.0,11001.0,26723.0
2019-01-08,53980.0,7468.0,3475.0,26578.0
2019-01-09,52008.0,13023.0,6127.0,25666.0
2019-01-10,43908.0,16821.0,12968.0,27481.0
2019-01-11,21361.0,15676.0,12032.0,28228.0
2019-01-12,27489.0,12139.0,10238.0,27294.0
2019-01-13,24297.0,8260.0,12020.0,26809.0
2019-01-14,101124.0,11900.0,14856.0,26924.0
2019-01-15,60413.0,19852.0,15167.0,21799.0
2019-01-16,124178.0,15047.0,13289.0,14429.0
2019-01-17,80642.0,13094.0,6410.0,9758.0
2019-01-18,189648.0,14056.0,6885.0,13268.0
2019-01-19,252400.0,15107.0,4042.0,10134.0
2019-01-20,214053.0,9777.0,7351.0,15572.0
2019-01-21,206879.0,14820.0,6875.0,26042.0
2019-01-22,150150.0,13064.0,7548.0,9536.0
2019-01-23,108143.0,9886.0,5559.0,13064.0
2019-01-24,58040.0,17187.0,11872.0,17460.0
2019-01-25,64944.0,13205.0,16551.0,30037.0
2019-01-26,46130.0,13517.0,13655.0,32800.0
2019-01-27,95846.0,13474.0,3698.0,24294.0
2019-01-28,97511.0,14856.0,7118.0,23905.0
2019-01-29,143822.0,10751.0,17297.0,9394.0
2019-01-30,135693.0,13995.0,5807.0,14333.0
2019-01-31,217839.0,7765.0,8075.0,7878.0
2019-02-01,81485.0,11277.0,1917.0,14272.0
2019-02-02,80130.0,8474.0,2434.0,24964.0
2019-02-03,78352.0,18621.0,5086.0,34642.0
2019-02-04,226356.0,17846.0,15300.0,33384.0
2019-02-05,140983.0,17615.0,20428.0,35485.0
2019-02-06,218560.0,19620.0,21306.0,34429.0
2019-02-07,110686.0,16423.0,15043.0,33824.0
2019-02-08,222319.0,22015.0,19350.0,34448.0
2019-02-09,229383.0,18686.0,16436.0,28996.0
2019-02-10,101375.0,11283.0,5833.0,13537.0
2019-02-11,160390.0,22001.0,15271.0,28117.0
2019-02-12,186378.0,29599.0,22555.0,33810.0
2019-02-13,288385.0,32946.0,22172.0,36056.0
2019-02-14,411836.0,32737.0,21247.0,37211.0
2019-02-15,505850.0,33402.0,21259.0,32516.0
2019-02-16,511018.0,33220.0,21851.0,30500.0
2019-02-17,487544.0,32246.0,22320.0,34126.0
2019-02-18,522954.0,29335.0,22556.0,18221.0
2019-02-19,266464.0,21649.0,20853.0,19677.0
2019-02-20,300639.0,31656.0,15293.0,27835.0
2019-02-21,254416.0,33274.0,17760.0,33190.0
2019-02-22,190275.0,34351.0,22450.0,37929.0
2019-02-23,513762.0,35752.0,20457.0,28232.0
2019-02-24,510844.0,33359.0,22132.0,39126.0
2019-02-25,555547.0,35555.0,23672.0,42960.0
2019-02-26,525127.0,34576.0,16140.0,44948.0
2019-02-27,597815.0,36484.0,24385.0,40242.0
2019-02-28,486196.0,27055.0,23860.0,35577.0
2019-03-01,127495.0,22346.0,15559.0,28510.0
2019-03-02,140842.0,24051.0,19800.0,39374.0
2019-03-03,194634.0,28745.0,23393.0,39706.0
2019-03-04,241339.0,21577.0,13907.0,22782.0
2019-03-05,280093.0,32294.0,22527.0,16837.0
2019-03-06,400222.0,13349.0,17931.0,11159.0
2019-03-07,279473.0,30063.0,15004.0,30932.0
2019-03-08,333897.0,26148.0,24015.0,30327.0
2019-03-09,237147.0,18151.0,23586.0,46338.0
2019-03-10,205395.0,20109.0,18288.0,47355.0
2019-03-11,266663.0,34182.0,20618.0,47565.0
2019-03-12,443758.0,34605.0,29635.0,47544.0
2019-03-13,319364.0,29850.0,14797.0,45440.0
2019-03-14,136491.0,21708.0,23357.0,50340.0
2019-03-15,144520.0,20880.0,27567.0,52432.0
2019-03-16,212364.0,37454.0,25770.0,52840.0
2019-03-17,412810.0,27178.0,14367.0,44453.0
2019-03-18,407805.0,30192.0,18445.0,42547.0
2019-03-19,541565.0,32807.0,21566.0,41860.0
2019-03-20,642981.0,43252.0,30321.0,45727.0
2019-03-21,660176.0,44468.0,30337.0,50347.0
2019-03-22,657720.0,45408.0,29892.0,49141.0
2019-03-23,620602.0,43849.0,30096.0,36280.0
2019-03-24,549932.0,42879.0,29349.0,37931.0
2019-03-25,436314.0,41734.0,28854.0,49114.0
2019-03-26,343980.0,46927.0,29242.0,41488.0
2019-03-27,367916.0,46493.0,27785.0,52463.0
2019-03-28,409933.0,45879.0,31467.0,54506.0
2019-03-29,699439.0,45305.0,30109.0,48078.0
2019-03-30,817471.0,46778.0,30923.0,43033.0
2019-03-31,675607.0,45337.0,31016.0,18599.0
2019-04-01,856883.0,35933.0,28248.0,19043.0
2019-04-02,704912.0,26302.0,20792.0,33455.0
2019-04-03,477357.0,21795.0,13214.0,44084.0
2019-04-04,426332.0,34465.0,11273.0,53124.0
2019-04-05,317897.0,34182.0,15619.0,17913.0
2019-04-06,692721.0,18742.0,18566.0,19790.0
2019-04-07,747990.0,29859.0,17063.0,19119.0
2019-04-08,582303.0,32219.0,22932.0,21118.0
2019-04-09,583644.0,37439.0,22908.0,28114.0
2019-04-10,617042.0,33157.0,24146.0,33980.0
2019-04-11,600828.0,33966.0,9367.0,49225.0
2019-04-12,448095.0,49948.0,13860.0,58172.0
2019-04-13,491095.0,50963.0,14382.0,56506.0
2019-04-14,461273.0,42097.0,11731.0,45463.0
2019-04-15,901464.0,29404.0,29645.0,36437.0
2019-04-16,884934.0,29309.0,28896.0,53921.0
2019-04-17,804149.0,40003.0,30812.0,21686.0
2019-04-18,939007.0,39710.0,30791.0,11340.0
2019-04-19,952063.0,48870.0,32569.0,15102.0
2019-04-20,952780.0,48167.0,33487.0,15744.0
2019-04-21,958974.0,27705.0,27841.0,16765.0
2019-04-22,946745.0,34873.0,17909.0,29401.0
2019-04-23,747538.0,24751.0,5226.0,18097.0
2019-04-24,831810.0,33753.0,17764.0,16874.0
2019-04-25,847482.0,30379.0,18903.0,21736.0
2019-04-26,432301.0,37523.0,20304.0,47597.0
2019-04-27,504134.0,36497.0,34037.0,55733.0
2019-04-28,534026.0,35204.0,22941.0,54712.0
2019-04-29,407675.0,46133.0,16289.0,50435.0
2019-04-30,791996.0,52624.0,30806.0,57167.0
2019-05-01,747876.0,48752.0,33514.0,53361.0
2019-05-02,662154.0,33499.0,29390.0,52958.0
2019-05-03,503555.0,33675.0,17793.0,51050.0
2019-05-04,465822.0,34197.0,20683.0,54454.0
2019-05-05,612798.0,47267.0,10253.0,56170.0
2019-05-06,562219.0,54573.0,29578.0,47998.0
2019-05-07,699935.0,44032.0,31000.0,41470.0
2019-05-08,455627.0,21487.0,10965.0,24177.0
2019-05-09,572291.0,32921.0,26814.0,24788.0
2019-05-10,577841.0,35369.0,31070.0,43541.0
2019-05-11,438598.0,36913.0,23424.0,57828.0
2019-05-12,720141.0,54940.0,10394.0,61026.0
2019-05-13,953603.0,58507.0,11555.0,63497.0
2019-05-14,823892.0,57363.0,23904.0,64257.0
2019-05-15,717135.0,55347.0,22358.0,61109.0
2019-05-16,385598.0,48250.0,28699.0,56071.0
2019-05-17,682499.0,20330.0,25486.0,41216.0
2019-05-18,931020.0,27581.0,8752.0,50041.0
2019-05-19,830392.0,24235.0,9540.0,52626.0
2019-05-20,404526.0,31324.0,16114.0,50878.0
2019-05-21,337204.0,43171.0,25928.0,51575.0
2019-05-22,405428.0,51064.0,28809.0,57327.0
2019-05-23,959959.0,48462.0,30779.0,50260.0
2019-05-24,908396.0,36846.0,30293.0,43394.0
2019-05-25,693696.0,38952.0,25346.0,56839.0
2019-05-26,776136.0,38364.0,14942.0,62412.0
2019-05-27,612262.0,34652.0,6781.0,59231.0
2019-05-28,486272.0,36369.0,21166.0,61579.0
2019-05-29,732302.0,44764.0,14389.0,64425.0
2019-05-30,761398.0,46558.0,29325.0,63401.0
2019-05-31,671949.0,56186.0,33594.0,64334.0
2019-06-01,978258.0,57272.0,32978.0,65068.0
2019-06-02,1021792.0,54891.0,34832.0,62314.0
