,DE_LU_WASTE,FR_WASTE,IT_NORD_WASTE,ES_WASTE
2019-01-01,68540.0,6035.0,779.0,7030.0
2019-01-02,62138.0,6055.0,811.0,7183.0
2019-01-03,64697.0,6188.0,843.0,7895.0
2019-01-04,60383.0,6112.0,806.0,7976.0
2019-01-05,59001.0,6091.0,828.0,7870.0
2019-01-06,61770.0,6000.0,833.0,7862.0
2019-01-07,53096.0,6079.0,793.0,8084.0
2019-01-08,64454.0,6123.0,721.0,7739.0
2019-01-09,61715.0,6362.0,815.0,7645.0
2019-01-10,62748.0,6655.0,809.0,7888.0
2019-01-11,62908.0,6664.0,836.0,7917.0
2019-01-12,63611.0,6366.0,811.0,7525.0
2019-01-13,63516.0,6434.0,846.0,6897.0
2019-01-14,55363.0,5862.0,802.0,6776.0
2019-01-15,51079.0,6146.0,847.0,6581.0
2019-01-16,50619.0,6414.0,849.0,6758.0
2019-01-17,50555.0,6558.0,841.0,6873.0
2019-01-18,48469.0,6625.0,871.0,7025.0
2019-01-19,49712.0,6550.0,828.0,6999.0
2019-01-20,46466.0,6318.0,839.0,6880.0
2019-01-21,48213.0,6128.0,821.0,7324.0
2019-01-22,46445.0,6174.0,811.0,8131.0
2019-01-23,56124.0,6134.0,839.0,7693.0
2019-01-24,68155.0,6035.0,795.0,7803.0
2019-01-25,59738.0,6255.0,817.0,7994.0
2019-01-26,56912.0,6436.0,807.0,7876.0
2019-01-27,58594.0,6561.0,802.0,7793.0
2019-01-28,59325.0,5954.0,800.0,7284.0
2019-01-29,58068.0,5452.0,819.0,7377.0
2019-01-30,32590.0,5377.0,809.0,6990.0
2019-01-31,66226.0,5288.0,798.0,6241.0
2019-02-01,66219.0,5062.0,815.0,6781.0
2019-02-02,71045.0,4956.0,773.0,6816.0
2019-02-03,70867.0,4904.0,817.0,7337.0
2019-02-04,66824.0,4864.0,789.0,7519.0
2019-02-05,54926.0,4876.0,773.0,6866.0
2019-02-06,52689.0,4878.0,807.0,7566.0
2019-02-07,57017.0,4871.0,777.0,7801.0
2019-02-08,60007.0,4859.0,820.0,8089.0
2019-02-09,61587.0,4882.0,798.0,7742.0
2019-02-10,61144.0,4887.0,814.0,7799.0
2019-02-11,60926.0,4850.0,788.0,7571.0
2019-02-12,62082.0,4221.0,830.0,6838.0
