,DE_LU_WINDOFFSHORE,ES_WINDOFFSHORE
2019-01-01,213646.0,0.0
2019-01-02,310799.0,0.0
2019-01-03,250006.0,0.0
2019-01-04,361617.0,0.0
2019-01-05,356563.0,0.0
2019-01-06,254355.0,0.0
2019-01-07,285438.0,0.0
2019-01-08,355996.0,0.0
2019-01-09,429921.0,0.0
2019-01-10,90502.0,0.0
2019-01-11,416983.0,0.0
2019-01-12,429596.0,0.0
2019-01-13,429313.0,0.0
2019-01-14,416628.0,0.0
2019-01-15,330658.0,0.0
2019-01-16,433738.0,0.0
2019-01-17,458983.0,0.0
2019-01-18,116845.0,0.0
2019-01-19,111525.0,0.0
2019-01-20,40557.0,0.0
2019-01-21,158349.0,0.0
2019-01-22,394131.0,0.0
2019-01-23,123708.0,0.0
2019-01-24,60607.0,0.0
2019-01-25,239700.0,0.0
2019-01-26,281522.0,0.0
2019-01-27,312554.0,0.0
2019-01-28,307160.0,0.0
2019-01-29,333903.0,0.0
2019-01-30,299863.0,0.0
2019-01-31,253931.0,0.0
2019-02-01,373258.0,0.0
2019-02-02,135173.0,0.0
2019-02-03,258649.0,0.0
2019-02-04,387897.0,0.0
2019-02-05,325350.0,0.0
2019-02-06,351319.0,0.0
2019-02-07,343882.0,0.0
2019-02-08,426891.0,0.0
2019-02-09,348373.0,0.0
2019-02-10,321647.0,0.0
2019-02-11,340825.0,0.0
2019-02-12,318047.0,0.0
2019-02-13,425019.0,0.0
2019-02-14,240234.0,0.0
2019-02-15,220693.0,0.0
2019-02-16,401902.0,0.0
2019-02-17,265272.0,0.0
2019-02-18,267682.0,0.0
2019-02-19,460825.0,0.0
2019-02-20,418335.0,0.0
2019-02-21,345633.0,0.0
2019-02-22,149862.0,0.0
2019-02-23,139822.0,0.0
2019-02-24,60385.0,0.0
2019-02-25,68702.0,0.0
2019-02-26,33835.0,0.0
2019-02-27,185425.0,0.0
2019-02-28,131300.0,0.0
2019-03-01,149640.0,0.0
2019-03-02,252749.0,0.0
2019-03-03,438300.0,0.0
2019-03-04,361083.0,0.0
2019-03-05,349883.0,0.0
2019-03-06,460243.0,0.0
2019-03-07,488361.0,0.0
2019-03-08,473099.0,0.0
2019-03-09,455526.0,0.0
2019-03-10,232354.0,0.0
2019-03-11,256901.0,0.0
2019-03-12,462125.0,0.0
2019-03-13,432251.0,0.0
2019-03-14,502442.0,0.0
2019-03-15,496753.0,0.0
2019-03-16,467834.0,0.0
2019-03-17,438065.0,0.0
2019-03-18,414894.0,0.0
2019-03-19,157570.0,0.0
2019-03-20,302352.0,0.0
2019-03-21,340017.0,0.0
2019-03-22,119233.0,0.0
2019-03-23,169565.0,0.0
2019-03-24,238367.0,0.0
2019-03-25,478662.0,0.0
2019-03-26,366091.0,0.0
2019-03-27,240609.0,0.0
2019-03-28,62605.0,0.0
2019-03-29,219058.0,0.0
2019-03-30,136720.0,0.0
2019-03-31,214330.0,0.0
