,DE_LU_WINDONSHORE,FR_WINDONSHORE,IT_NORD_WINDONSHORE,ES_WINDONSHORE
2019-01-01,3047300.0,50639.0,170.0,80690.0
2019-01-02,2355646.0,76238.0,256.0,193184.0
2019-01-03,905269.0,62208.0,48.0,106798.0
2019-01-04,1838940.0,57399.0,27.0,78064.0
2019-01-05,2026364.0,66353.0,73.0,121478.0
2019-01-06,729606.0,45000.0,93.0,162757.0
2019-01-07,1578239.0,67061.0,46.0,159865.0
2019-01-08,3492975.0,147654.0,89.0,167550.0
2019-01-09,2611740.0,141801.0,242.0,253391.0
2019-01-10,601169.0,68471.0,219.0,256150.0
2019-01-11,1625858.0,50426.0,87.0,222593.0
2019-01-12,2494863.0,119435.0,89.0,199286.0
2019-01-13,3199341.0,215406.0,141.0,187441.0
2019-01-14,2902677.0,110434.0,417.0,181404.0
2019-01-15,2987224.0,43816.0,111.0,52723.0
2019-01-16,2481905.0,97826.0,430.0,67141.0
2019-01-17,2492073.0,125659.0,264.0,84388.0
2019-01-18,836652.0,46658.0,219.0,76897.0
2019-01-19,429802.0,56020.0,250.0,140511.0
2019-01-20,196557.0,32210.0,153.0,205916.0
2019-01-21,375222.0,40293.0,331.0,163816.0
2019-01-22,794436.0,90066.0,113.0,251855.0
2019-01-23,522717.0,83343.0,220.0,372942.0
2019-01-24,132022.0,48803.0,305.0,292116.0
2019-01-25,559977.0,63113.0,303.0,241213.0
2019-01-26,1747742.0,155606.0,109.0,120083.0
2019-01-27,1999883.0,244409.0,403.0,295637.0
2019-01-28,1676545.0,126223.0,312.0,310637.0
2019-01-29,1048494.0,100105.0,72.0,302998.0
2019-01-30,1481681.0,109360.0,200.0,276308.0
2019-01-31,750159.0,93208.0,174.0,364735.0
2019-02-01,988836.0,62236.0,453.0,352115.0
2019-02-02,335596.0,141876.0,220.0,304621.0
2019-02-03,910095.0,95175.0,225.0,220109.0
2019-02-04,1586731.0,108978.0,294.0,150662.0
2019-02-05,1079345.0,47817.0,213.0,92300.0
2019-02-06,1097006.0,84848.0,223.0,74053.0
2019-02-07,2124948.0,172053.0,63.0,88547.0
2019-02-08,2702507.0,211932.0,72.0,133154.0
2019-02-09,3361646.0,212835.0,159.0,159892.0
2019-02-10,2852346.0,243809.0,411.0,255645.0
2019-02-11,2822887.0,86765.0,539.0,138949.0
2019-02-12,1539796.0,32649.0,146.0,70469.0
2019-02-13,1407599.0,50064.0,122.0,73631.0
2019-02-14,497195.0,66734.0,51.0,150796.0
2019-02-15,644798.0,61943.0,93.0,89237.0
2019-02-16,1091603.0,50979.0,78.0,153770.0
2019-02-17,610690.0,100542.0,39.0,168015.0
2019-02-18,769052.0,69176.0,87.0,111389.0
2019-02-19,1854495.0,26315.0,100.0,27748.0
2019-02-20,1049316.0,24562.0,25.0,64201.0
2019-02-21,1305751.0,20912.0,38.0,102454.0
2019-02-22,798340.0,56338.0,82.0,93790.0
2019-02-23,708138.0,90911.0,481.0,121708.0
2019-02-24,339133.0,57611.0,309.0,78071.0
2019-02-25,403205.0,54671.0,175.0,60273.0
2019-02-26,287738.0,41716.0,60.0,97618.0
2019-02-27,622112.0,30586.0,58.0,99619.0
2019-02-28,1566797.0,158322.0,191.0,95441.0
2019-03-01,689579.0,107426.0,138.0,92035.0
2019-03-02,864275.0,133287.0,142.0,140168.0
2019-03-03,2945444.0,226730.0,241.0,187404.0
2019-03-04,3416620.0,234627.0,460.0,240039.0
2019-03-05,2589842.0,153098.0,318.0,186440.0
2019-03-06,1977849.0,201134.0,264.0,334293.0
2019-03-07,2972706.0,218309.0,369.0,172008.0
2019-03-08,2703472.0,137374.0,289.0,61750.0
2019-03-09,3244909.0,190567.0,374.0,67895.0
2019-03-10,1915501.0,234410.0,429.0,113422.0
2019-03-11,2291243.0,173868.0,340.0,108098.0
2019-03-12,2356560.0,200863.0,155.0,149680.0
2019-03-13,3386363.0,241200.0,275.0,213160.0
