,DE_LU_Eprice_max,FR_Eprice_max,IT_NORD_Eprice_max,ES_Eprice_max
2019-01-01,10.07,65.56,65.56,68.07
2019-01-02,62.11,69.3,73.56,69.3
2019-01-03,69.55,73.43,73.43,71.1
2019-01-04,55.78,77.23,77.23,71.94
2019-01-05,61.64,69.12,77.51,69.5
2019-01-06,67.37,67.37,70.0,68.0
2019-01-07,74.93,74.93,84.0,70.39
2019-01-08,46.93,70.0,94.99,70.0
2019-01-09,55.94,69.01,82.5,69.01
2019-01-10,85.15,85.15,87.21,69.75
2019-01-11,62.92,77.54,78.86,70.45
2019-01-12,46.29,65.0,78.52,69.69
2019-01-13,30.81,64.45,81.03,71.69
2019-01-14,51.66,72.52,87.0,72.52
2019-01-15,58.38,74.74,88.15,74.74
2019-01-16,55.73,72.95,100.0,72.99
2019-01-17,58.72,73.45,82.0,73.45
2019-01-18,76.86,76.86,95.13,72.01
2019-01-19,68.91,70.0,77.68,70.0
2019-01-20,69.75,70.11,77.65,70.11
2019-01-21,88.5,88.5,88.5,73.9
2019-01-22,80.23,91.52,91.52,71.2
2019-01-23,93.76,93.9,93.9,68.89
2019-01-24,121.46,121.46,113.07,70.13
2019-01-25,97.0,97.0,97.0,69.69
2019-01-26,59.18,66.49,76.46,68.5
2019-01-27,52.96,59.2,72.89,64.18
2019-01-28,64.88,71.51,74.93,70.01
2019-01-29,72.82,73.14,85.0,68.07
2019-01-30,68.17,71.85,90.02,68.65
2019-01-31,78.49,78.49,84.88,65.4
2019-02-01,69.98,72.57,87.53,62.99
2019-02-02,59.5,59.5,65.28,51.92
2019-02-03,59.54,63.93,72.65,63.93
2019-02-04,60.67,70.66,79.63,70.66
2019-02-05,65.79,68.07,74.01,68.07
2019-02-06,62.4,65.88,75.0,67.52
2019-02-07,53.29,56.5,80.86,68.07
2019-02-08,57.94,58.0,77.27,65.01
2019-02-09,36.17,56.12,77.84,64.01
2019-02-10,49.48,49.82,67.0,66.55
2019-02-11,49.41,66.25,73.97,66.25
2019-02-12,60.47,65.83,79.27,67.1
2019-02-13,56.55,65.31,80.0,65.51
