,DE_LU_Eprice_min,FR_Eprice_min,IT_NORD_Eprice_min,ES_Eprice_min
2019-01-01,-33.57,20.9,20.0,55.47
2019-01-02,-48.93,25.84,36.0,45.24
2019-01-03,43.88,43.88,43.88,50.2
2019-01-04,26.9,47.0,47.0,54.85
2019-01-05,18.37,52.57,53.5,58.31
2019-01-06,44.23,47.17,47.17,47.17
2019-01-07,1.84,46.08,50.0,50.5
2019-01-08,7.78,27.4,61.0,50.5
2019-01-09,3.43,27.83,60.55,49.4
2019-01-10,47.11,48.5,53.55,48.5
2019-01-11,42.2,49.98,57.12,49.98
2019-01-12,23.35,42.51,56.63,51.4
2019-01-13,-7.28,26.48,49.58,49.91
2019-01-14,-15.04,23.49,39.75,50.47
2019-01-15,29.23,37.58,52.43,54.9
2019-01-16,26.35,44.68,59.01,61.07
2019-01-17,22.77,32.58,56.26,52.2
2019-01-18,40.91,48.0,55.0,58.07
2019-01-19,47.74,55.55,60.37,55.55
2019-01-20,46.69,51.52,58.59,51.52
2019-01-21,51.14,51.14,54.48,51.14
2019-01-22,51.96,52.1,61.14,51.57
2019-01-23,51.02,51.02,60.39,49.05
2019-01-24,56.37,56.52,62.9,49.05
2019-01-25,42.9,55.28,55.32,51.77
2019-01-26,28.42,44.51,49.9,50.97
2019-01-27,3.65,18.98,49.9,19.74
2019-01-28,37.8,37.8,37.8,37.8
2019-01-29,44.59,45.97,55.0,45.97
2019-01-30,42.74,42.74,55.33,42.74
2019-01-31,43.55,45.08,49.0,44.1
2019-02-01,41.1,41.1,49.62,41.1
2019-02-02,42.6,42.6,42.71,20.45
2019-02-03,38.47,38.47,40.0,38.47
2019-02-04,32.51,38.55,50.4,38.55
2019-02-05,36.71,42.8,47.61,48.77
2019-02-06,40.4,40.4,41.19,52.73
2019-02-07,32.73,37.0,54.14,43.97
2019-02-08,0.02,34.96,52.99,47.53
2019-02-09,-4.09,15.7,51.72,41.72
2019-02-10,-0.01,15.6,30.0,15.6
2019-02-11,-3.95,18.72,18.72,41.72
2019-02-12,29.71,38.12,42.1,50.0
2019-02-13,33.31,37.68,40.0,57.01
2019-02-14,38.47,38.47,42.0,48.0
2019-02-15,35.42,40.19,44.4,45.57
2019-02-16,31.09,36.52,40.8,43.39
2019-02-17,35.09,35.09,35.09,36.13
2019-02-18,35.87,36.23,42.79,45.37
2019-02-19,35.26,36.0,49.67,52.6
2019-02-20,32.95,35.2,48.89,53.1
2019-02-21,35.36,35.36,51.3,47.67
2019-02-22,38.04,38.04,47.73,45.52
2019-02-23,35.32,35.5,36.26,46.87
2019-02-24,34.54,34.54,34.54,45.0
2019-02-25,36.06,36.06,36.37,46.36
